projection,method,threshold,invocations,requests,reach_fraction_by_4bpw,reach_fraction_ci_low,reach_fraction_ci_high,mean_required_bpw_capped_at_4,mean_capped_ci_low,mean_capped_ci_high,median_required_bpw,median_capped_ci_low,median_capped_ci_high,p75_required_bpw,p90_required_bpw,p95_required_bpw,p99_required_bpw,finite_mean_conditional
down,generalized,0.8,400,16,0.265,0.21116682482171614,0.3437643086080586,3.456328125,3.3075077570921985,3.5948598530595812,inf,4.0,4.0,inf,inf,inf,inf,1.9484080188679245
down,generalized,0.9,400,16,0.1675,0.12525230987917554,0.20997651028915504,3.720625,3.605517560839129,3.811677982911199,inf,4.0,4.0,inf,inf,inf,inf,2.332089552238806
down,generalized,0.95,400,16,0.0975,0.06197660668040801,0.13872870199437096,3.885,3.8266658255397665,3.9329555720919678,inf,4.0,4.0,inf,inf,inf,inf,2.8205128205128207
down,generalized,0.975,400,16,0.045,0.026112969634585693,0.06628352349585367,3.96,3.934951627251835,3.97957559465624,inf,4.0,4.0,inf,inf,inf,inf,3.111111111111111
down,generalized,0.99,400,16,0.0075,0.0,0.016529609764107056,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,4.0
down,learned_s11,0.8,400,16,0.235,0.1823450849066554,0.30504852364237045,3.53,3.367327161274014,3.667485280346982,inf,4.0,4.0,inf,inf,inf,inf,2.0
down,learned_s11,0.9,400,16,0.14,0.09675679949399114,0.18622963824836047,3.795,3.699153986768802,3.880419107229706,inf,4.0,4.0,inf,inf,inf,inf,2.5357142857142856
down,learned_s11,0.95,400,16,0.0675,0.039916850648834955,0.09915794724176795,3.920625,3.871475948525956,3.9626312677232134,inf,4.0,4.0,inf,inf,inf,inf,2.824074074074074
down,learned_s11,0.975,400,16,0.0325,0.014163139476753874,0.0549468331021729,3.97625,3.9525034552079408,3.994750656167979,inf,4.0,4.0,inf,inf,inf,inf,3.269230769230769
down,learned_s11,0.99,400,16,0.01,0.002346737034737427,0.018719093209131156,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,4.0
down,learned_s29,0.8,400,16,0.24,0.1767937089365661,0.31389685792349725,3.49296875,3.3538368415802076,3.6166022053982885,inf,4.0,4.0,inf,inf,inf,inf,1.8873697916666667
down,learned_s29,0.9,400,16,0.15,0.11428051317614424,0.18594049794426679,3.762578125,3.6783432778940663,3.8432235640349095,inf,4.0,4.0,inf,inf,inf,inf,2.4171875
down,learned_s29,0.95,400,16,0.085,0.05426199029432155,0.11635667535920642,3.899375,3.8509374999999997,3.9385996197191773,inf,4.0,4.0,inf,inf,inf,inf,2.8161764705882355
down,learned_s29,0.975,400,16,0.0325,0.01587196884030657,0.05199242122058236,3.9675,3.9421996476530996,3.986396856039713,inf,4.0,4.0,inf,inf,inf,inf,3.0
down,learned_s29,0.99,400,16,0.0025,0.0,0.008319972514887766,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,4.0
down,learned_s47,0.8,400,16,0.2325,0.17804720968755355,0.30073548412745743,3.53265625,3.4016608488896836,3.655196432845033,inf,4.0,4.0,inf,inf,inf,inf,1.9899193548387097
down,learned_s47,0.9,400,16,0.1325,0.08934988179669032,0.18219857508220677,3.795,3.723951480263158,3.8717128162036447,inf,4.0,4.0,inf,inf,inf,inf,2.452830188679245
down,learned_s47,0.95,400,16,0.07,0.04338572356407312,0.09825510222725695,3.924375,3.88990115170541,3.9537065544608647,inf,4.0,4.0,inf,inf,inf,inf,2.919642857142857
down,learned_s47,0.975,400,16,0.035,0.019952513457660973,0.053404914705721014,3.9925,3.981132075471698,4.0,inf,4.0,4.0,inf,inf,inf,inf,3.7857142857142856
down,learned_s47,0.99,400,16,0.005,0.0,0.011737779618889808,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,4.0
down,native,0.8,400,16,0.5025,0.4419724375538329,0.5950181897663114,2.973046875,2.730538297814406,3.168390761521329,4.0,3.5,4.0,inf,inf,inf,inf,1.9563121890547264
down,native,0.9,400,16,0.2875,0.2305619436595781,0.37002977839335177,3.486015625,3.3132696121159295,3.6245780475357248,inf,4.0,4.0,inf,inf,inf,inf,2.212228260869565
down,native,0.95,400,16,0.2,0.1461339774164546,0.2633175955780746,3.707109375,3.5881919001436784,3.808569321571592,inf,4.0,4.0,inf,inf,inf,inf,2.535546875
down,native,0.975,400,16,0.1275,0.0898144050184729,0.17364583833245348,3.851875,3.7833228291316527,3.9170760324442884,inf,4.0,4.0,inf,inf,inf,inf,2.838235294117647
down,native,0.99,400,16,0.055,0.03065499204630816,0.08169590992281371,3.936875,3.8941477295640605,3.9739628232758624,inf,4.0,4.0,inf,inf,inf,inf,2.852272727272727
down,overcomplete_2x,0.8,400,16,0.1825,0.13737251402345743,0.23810176125244617,3.663984375,3.536697905180532,3.778499116518192,inf,4.0,4.0,inf,inf,inf,inf,2.158818493150685
down,overcomplete_2x,0.9,400,16,0.0775,0.04524886877828054,0.11243589743589744,3.87,3.790497176280758,3.9303415370145394,inf,4.0,4.0,inf,inf,inf,inf,2.3225806451612905
down,overcomplete_2x,0.95,400,16,0.03,0.012844832753049894,0.05060041061879297,3.97,3.9362202935056403,3.99581092635293,inf,4.0,4.0,inf,inf,inf,inf,3.0
down,overcomplete_2x,0.975,400,16,0.0075,0.0,0.019545570671265246,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,4.0
down,overcomplete_2x,0.99,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
down,pca,0.8,400,16,0.28,0.2255378026967529,0.34141339182515495,3.43859375,3.2544348045822105,3.5800927162617096,inf,4.0,4.0,inf,inf,inf,inf,1.9949776785714286
down,pca,0.9,400,16,0.155,0.1132064577977254,0.20106048166392992,3.694453125,3.5616641415385626,3.80734969686365,inf,4.0,4.0,inf,inf,inf,inf,2.0287298387096775
