layer,projection,method,budget_bpw,count,mean,median,std
0,down,generalized,0.0,111,0.0,0.0,0.0
0,down,generalized,0.05,111,0.0,0.0,0.0
0,down,generalized,0.1,111,0.27975852853897426,0.2363697156300293,0.2427794588261599
0,down,generalized,0.2,111,0.3459186595174999,0.28948735636587486,0.2500811301994654
0,down,generalized,0.3,111,0.40074296272686016,0.38754356048313077,0.26306843577861966
0,down,generalized,0.5,111,0.4718473270072323,0.4739036657045902,0.279125903749988
0,down,generalized,0.75,111,0.5461768866078757,0.5906854385035781,0.2766750754579506
0,down,generalized,1.0,111,0.5850533827492829,0.6435711896575046,0.2852753582209895
0,down,generalized,1.25,111,0.6185396121338886,0.6988551252603443,0.2757675544441862
0,down,generalized,1.5,111,0.6505805590357633,0.7426801237507763,0.2707505631500541
0,down,generalized,2.0,111,0.7066214134068006,0.7888331678394687,0.24249196905744866
0,down,generalized,2.5,111,0.7471661604399285,0.8245124778638637,0.22830595316974264
0,down,generalized,3.0,111,0.7807326266710732,0.8494265681892659,0.20979243549529927
0,down,generalized,4.0,111,0.8286885267161793,0.8980804523450308,0.17992443396229327
0,down,learned_s11,0.0,111,0.0,0.0,0.0
0,down,learned_s11,0.05,111,0.0,0.0,0.0
0,down,learned_s11,0.1,111,0.21164432579843298,0.1823935297002779,0.22861067479343267
0,down,learned_s11,0.2,111,0.28424085415744854,0.26485829756371126,0.24093689077853334
0,down,learned_s11,0.3,111,0.3631740157519507,0.3785524897571825,0.25753656931225427
0,down,learned_s11,0.5,111,0.4508036611121604,0.4958125489189482,0.2749718700289298
0,down,learned_s11,0.75,111,0.5257269424206302,0.5735044014204709,0.25799456921553454
0,down,learned_s11,1.0,111,0.5794901714265606,0.6227153070106678,0.2573261075700955
0,down,learned_s11,1.25,111,0.6082184467789349,0.6756596960000578,0.2582853567132878
0,down,learned_s11,1.5,111,0.636728395524871,0.6932829887652044,0.24614174103553138
0,down,learned_s11,2.0,111,0.692260106248283,0.7633029423744125,0.21939104817408872
0,down,learned_s11,2.5,111,0.7446949346150255,0.818917501397215,0.20262818989488923
0,down,learned_s11,3.0,111,0.7707974334764667,0.8437706622301182,0.1944834329139028
0,down,learned_s11,4.0,111,0.8216030707713158,0.8983298363026679,0.16217382227309954
0,down,learned_s29,0.0,111,0.0,0.0,0.0
0,down,learned_s29,0.05,111,0.0,0.0,0.0
0,down,learned_s29,0.1,111,0.1822134379507075,0.14375890410030068,0.2244675096766121
0,down,learned_s29,0.2,111,0.2638791086497785,0.24801535549239917,0.2524651418316052
0,down,learned_s29,0.3,111,0.339002418105492,0.3367846132127922,0.267267368513008
0,down,learned_s29,0.5,111,0.4202245622328763,0.45068145138347115,0.29023217621277647
0,down,learned_s29,0.75,111,0.4977145164442777,0.518217010798586,0.28255897542407304
0,down,learned_s29,1.0,111,0.5514309332224291,0.5984749581965333,0.2755453819493522
0,down,learned_s29,1.25,111,0.5930167782554002,0.6143165201407262,0.26075894893608986
0,down,learned_s29,1.5,111,0.6350570545656301,0.703223487500986,0.2517313408108589
0,down,learned_s29,2.0,111,0.6831953688039031,0.7603113028008407,0.23431616506930192
0,down,learned_s29,2.5,111,0.725905293345197,0.8276416081724016,0.2202276781915571
0,down,learned_s29,3.0,111,0.7525087929174,0.8404443640540274,0.21944356435130927
0,down,learned_s29,4.0,111,0.8038700159823908,0.8749549187980676,0.1815857158899025
0,down,learned_s47,0.0,111,0.0,0.0,0.0
0,down,learned_s47,0.05,111,0.0,0.0,0.0
0,down,learned_s47,0.1,111,0.2059579444607132,0.18983080426930987,0.23817726652301222
0,down,learned_s47,0.2,111,0.26935484971566315,0.26288118850629183,0.27216959464478024
0,down,learned_s47,0.3,111,0.32740423515094064,0.3066641969021525,0.2896420677256743
0,down,learned_s47,0.5,111,0.41871479384319965,0.4084893784136878,0.2893156987786373
0,down,learned_s47,0.75,111,0.492411674714634,0.5126162998144295,0.282913883907433
0,down,learned_s47,1.0,111,0.5479590368890029,0.5664912204971482,0.27121248590050234
0,down,learned_s47,1.25,111,0.5965160461978,0.6196179899814945,0.25547282984185066
0,down,learned_s47,1.5,111,0.640565351524138,0.678487504191267,0.23778685717403342
0,down,learned_s47,2.0,111,0.6924452980165314,0.7065677870564756,0.21973971431985834
0,down,learned_s47,2.5,111,0.736137109816169,0.7926730600232519,0.2003453577456096
0,down,learned_s47,3.0,111,0.7687263917978113,0.8145846732977706,0.18509750793206303
0,down,learned_s47,4.0,111,0.8198296876731426,0.8682448355364406,0.16073473123103166
0,down,native,0.0,111,0.0,0.0,0.0
0,down,native,0.05,111,0.0,0.0,0.0
0,down,native,0.1,111,0.39866147384982026,0.36361214694437183,0.2772968789968446
0,down,native,0.2,111,0.49737256395194557,0.5230325771730153,0.2694221251091711
0,down,native,0.3,111,0.5693313217040478,0.5973838797407023,0.26716272775414374
0,down,native,0.5,111,0.6518165299923147,0.6857228934783957,0.23155193678546965
0,down,native,0.75,111,0.7062869106549324,0.7425158003248038,0.21381986806359315
0,down,native,1.0,111,0.7554217068979335,0.7993018400485603,0.19247121336443523
0,down,native,1.25,111,0.7968378433276381,0.8291757050432677,0.17296099916484858
0,down,native,1.5,111,0.8251811141269921,0.8690686590068304,0.15571403760158797
0,down,native,2.0,111,0.868618052869421,0.8878449943752024,0.12193978062240006
0,down,native,2.5,111,0.8995189688936014,0.9182972934444279,0.09581795888551649
0,down,native,3.0,111,0.9211305927979512,0.9428015149562678,0.07703629410807818
0,down,native,4.0,111,0.9516537271531926,0.9700865707713648,0.05515484268442144
0,down,overcomplete_2x,0.0,111,0.0,0.0,0.0
0,down,overcomplete_2x,0.05,111,0.0,0.0,0.0
0,down,overcomplete_2x,0.1,111,0.22379910934025718,0.1767437383790913,0.20053805184237528
0,down,overcomplete_2x,0.2,111,0.28835346693322766,0.2071318371216272,0.2272275084801304
0,down,overcomplete_2x,0.3,111,0.34947505062096185,0.30471525964448887,0.24638607862085724
0,down,overcomplete_2x,0.5,111,0.4261721271826181,0.42263746242176525,0.27109253670236777
0,down,overcomplete_2x,0.75,111,0.48243959065538705,0.49090834988493925,0.26407713443896114
0,down,overcomplete_2x,1.0,111,0.5251500611420413,0.5378010879311379,0.2575339290453989
0,down,overcomplete_2x,1.25,111,0.5594544401825942,0.602341716308328,0.25531983438227185
0,down,overcomplete_2x,1.5,111,0.5923557489999158,0.6516216880584373,0.24747902123125795
0,down,overcomplete_2x,2.0,111,0.6430457338230906,0.6828909194877413,0.22914684720032333
0,down,overcomplete_2x,2.5,111,0.6754946707242783,0.7169588241373817,0.22363221174093637
0,down,overcomplete_2x,3.0,111,0.7047755140738211,0.756759885103679,0.20703671935154813
0,down,overcomplete_2x,4.0,111,0.754734712169163,0.8193582053302838,0.18088751780951784
0,down,pca,0.0,111,0.0,0.0,0.0
0,down,pca,0.05,111,0.0,0.0,0.0
0,down,pca,0.1,111,0.2957630308428306,0.2762924184917547,0.25583335735450263
0,down,pca,0.2,111,0.36291396154582856,0.360821535551874,0.28660415994949145
0,down,pca,0.3,111,0.41899623855457996,0.39190036892103153,0.29344739100681816
0,down,pca,0.5,111,0.49927981979023284,0.511904978642071,0.2933812097958154
0,down,pca,0.75,111,0.555629930880079,0.6066884063572031,0.2929900154713943
0,down,pca,1.0,111,0.6089067151819467,0.662042591431344,0.2709435557961297
0,down,pca,1.25,111,0.6449397022233105,0.6933400349023415,0.2601673192647249
0,down,pca,1.5,111,0.6774976547121987,0.7382427822564279,0.24535066849085913
0,down,pca,2.0,111,0.7309897360823403,0.7955519910733959,0.21766159196818008
0,down,pca,2.5,111,0.7684844602277513,0.8199276366277142,0.19811974281637804
0,down,pca,3.0,111,0.7953905738514097,0.8457848422481491,0.18210203987214402
0,down,pca,4.0,111,0.8347724987347489,0.8846143162677294,0.16160550652402605
0,down,progressive_best,0.0,111,0.0,0.0,0.0
0,down,progressive_best,0.05,111,0.30381403133351376,0.28485496141106437,0.2593229910671241
0,down,progressive_best,0.1,111,0.49077886384099106,0.4809393387189914,0.24258096576824173
0,down,progressive_best,0.2,111,0.5847090655146185,0.6114239867800962,0.25054672297436215
0,down,progressive_best,0.3,111,0.6354489549869767,0.6623635984464605,0.23349461462670756
0,down,progressive_best,0.5,111,0.7198643674871041,0.7476248898195914,0.18884963123878182
0,down,progressive_best,0.75,111,0.7896659143287831,0.8236089456335892,0.16437114017874718
0,down,progressive_best,1.0,111,0.8311835950038919,0.8534637599494393,0.1365305038534731
0,down,progressive_best,1.25,111,0.8644505708563427,0.8820962043289987,0.11099610564515348
0,down,progressive_best,1.5,111,0.8887862384751146,0.904614607550101,0.09349727926860221
0,down,progressive_best,2.0,111,0.9242838071180159,0.9351518422580014,0.06723204614386404
0,down,progressive_best,2.5,111,0.9479323563884353,0.960389055826983,0.051113349704966074
0,down,progressive_best,3.0,111,0.9640331330920884,0.9749695266013031,0.03585681127399326
0,down,progressive_best,4.0,111,0.9817556687724617,0.988333994826602,0.021687722828268374
0,down,random,0.0,111,0.0,0.0,0.0
0,down,random,0.05,111,0.0,0.0,0.0
0,down,random,0.1,111,0.029396664194287225,0.03146309312610851,0.06181877857861676
0,down,random,0.2,111,0.051763323931583435,0.053731793102020586,0.0731725674111365
0,down,random,0.3,111,0.08492574115115188,0.09610148367077964,0.09186738870992428
0,down,random,0.5,111,0.13080886246502965,0.14646771486093724,0.1078734762899176
0,down,random,0.75,111,0.18398476722420717,0.17991840440082807,0.11649679697568276
0,down,random,1.0,111,0.2391272032401601,0.24023253329973693,0.12195396648544445
0,down,random,1.25,111,0.2834367449615893,0.2927026341569571,0.12359670212362389
0,down,random,1.5,111,0.3073198076489769,0.3178310439121035,0.13440458202845146
0,down,random,2.0,111,0.37051271851554896,0.38958952500330124,0.15738738100604746
0,down,random,2.5,111,0.43219726657311003,0.46611059969901947,0.16375670206285747
0,down,random,3.0,111,0.4827688790008718,0.5323159160271174,0.1621871849766656
