resident_base,layer,projection,budget_bpw,invocations,recovery_median,relative_output_error_median,base_damage_median
Q2 (2.250488 resident bpw),0,down,0.0,111,0.0,0.3465684652328491,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,0.05,111,0.23041875431072734,0.3229910135269165,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,0.1,111,0.4568645134797157,0.282674640417099,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,0.2,111,0.5989007577435281,0.24503155052661896,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,0.3,111,0.6421634216939434,0.22872164845466614,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,0.5,111,0.745765616353757,0.1995297372341156,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,0.75,111,0.792220087714697,0.17410805821418762,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,1.0,111,0.8499469630818723,0.1546851396560669,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,1.25,111,0.8775563282900947,0.13842438161373138,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,1.5,111,0.9046535835631757,0.12170591205358505,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,2.0,111,0.9317706909626594,0.09882619231939316,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,2.5,111,0.9528029236348673,0.07938361912965775,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,3.0,111,0.9706757267937369,0.06259474158287048,0.020017184174658136
Q2 (2.250488 resident bpw),0,down,4.0,111,0.9871685379696052,0.03999653831124306,0.020017184174658136
Q2 (2.250488 resident bpw),0,gate,0.0,111,0.0,0.23160669207572937,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,0.05,111,0.4386499565087031,0.1694100797176361,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,0.1,111,0.6155284679705476,0.13580411672592163,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,0.2,111,0.7482596923978337,0.11278846114873886,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,0.3,111,0.7834206931292045,0.10382415354251862,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,0.5,111,0.8527454000069656,0.08526218682527542,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,0.75,111,0.8801144865140006,0.07426551729440689,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,1.0,111,0.9132544523137553,0.06540357321500778,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,1.25,111,0.9415517215309123,0.05429956316947937,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,1.5,111,0.9523419374362847,0.0501791350543499,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,2.0,111,0.9709672720523395,0.0409742034971714,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,2.5,111,0.9835978311372794,0.02937181480228901,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,3.0,111,0.9893912093912769,0.023514028638601303,1.9235649065477758
Q2 (2.250488 resident bpw),0,gate,4.0,111,0.9933143859144369,0.018765516579151154,1.9235649065477758
Q2 (2.250488 resident bpw),0,up,0.0,111,0.0,0.26781007647514343,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,0.05,111,0.36631646777882276,0.2119360864162445,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,0.1,111,0.5419016886532602,0.17720498144626617,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,0.2,111,0.6766084238943764,0.1515474021434784,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,0.3,111,0.7124792846929247,0.13990911841392517,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,0.5,111,0.7873013780766643,0.12463987618684769,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,0.75,111,0.8252248049043347,0.10996147245168686,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,1.0,111,0.8874298469451811,0.09069520980119705,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,1.25,111,0.9340489045953275,0.07171948999166489,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,1.5,111,0.9457664189243781,0.06296337395906448,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,2.0,111,0.9639124327628721,0.05087694153189659,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,2.5,111,0.9764972477348843,0.04039449244737625,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,3.0,111,0.9854128401167099,0.033021122217178345,1.0323940969846672
Q2 (2.250488 resident bpw),0,up,4.0,111,0.9902438346279814,0.0263973455876112,1.0323940969846672
Q2 (2.250488 resident bpw),20,down,0.0,136,0.0,0.34038765728473663,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,0.05,136,0.12327453535911431,0.32763153314590454,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,0.1,136,0.25296101282425654,0.3103494793176651,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,0.2,136,0.33867121567731395,0.2952613830566406,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,0.3,136,0.38847550234556427,0.28525809943675995,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,0.5,136,0.43260185573115456,0.27198582887649536,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,0.75,136,0.48929310449706165,0.25715842843055725,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,1.0,136,0.5386773993632218,0.2472122311592102,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,1.25,136,0.5877449954347367,0.23498158156871796,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,1.5,136,0.6282659839514062,0.22730780392885208,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,2.0,136,0.689985717053554,0.20371419191360474,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,2.5,136,0.7296415873889659,0.18581411987543106,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,3.0,136,0.7931695723774931,0.16911502927541733,0.33954527949250923
Q2 (2.250488 resident bpw),20,down,4.0,136,0.8954991847135187,0.1121184304356575,0.33954527949250923
Q2 (2.250488 resident bpw),20,gate,0.0,136,0.0,0.2587740570306778,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,0.05,136,0.34520479950987226,0.20576351135969162,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,0.1,136,0.40802989227255704,0.19420703500509262,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,0.2,136,0.44214601847975527,0.18851649016141891,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,0.3,136,0.4652489757400499,0.1854882910847664,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,0.5,136,0.5095578788985886,0.17858357727527618,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,0.75,136,0.5361290607693152,0.17266540974378586,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,1.0,136,0.5547696822704802,0.16780681163072586,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,1.25,136,0.5783787138303831,0.16384964436292648,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,1.5,136,0.6148150227333866,0.15928462892770767,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,2.0,136,0.6524856976411382,0.15157686918973923,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,2.5,136,0.726555569757867,0.1336461901664734,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,3.0,136,0.7489006675451975,0.13070769608020782,21.514686497067782
Q2 (2.250488 resident bpw),20,gate,4.0,136,0.8409472139996294,0.1030198484659195,21.514686497067782
Q2 (2.250488 resident bpw),20,up,0.0,136,0.0,0.34250862896442413,13.448627804931705
Q2 (2.250488 resident bpw),20,up,0.05,136,0.15339363821864,0.31733712553977966,13.448627804931705
Q2 (2.250488 resident bpw),20,up,0.1,136,0.22369301645232198,0.3045806288719177,13.448627804931705
Q2 (2.250488 resident bpw),20,up,0.2,136,0.276460328906022,0.2957376092672348,13.448627804931705
Q2 (2.250488 resident bpw),20,up,0.3,136,0.30463655851375604,0.2867625206708908,13.448627804931705
Q2 (2.250488 resident bpw),20,up,0.5,136,0.33962123543590367,0.27792663872241974,13.448627804931705
Q2 (2.250488 resident bpw),20,up,0.75,136,0.3801595344727905,0.2685110867023468,13.448627804931705
Q2 (2.250488 resident bpw),20,up,1.0,136,0.41623804408749765,0.26116545498371124,13.448627804931705
Q2 (2.250488 resident bpw),20,up,1.25,136,0.4435763181568951,0.2552671730518341,13.448627804931705
Q2 (2.250488 resident bpw),20,up,1.5,136,0.4795211007984239,0.24790576100349426,13.448627804931705
Q2 (2.250488 resident bpw),20,up,2.0,136,0.531047309281689,0.23466618359088898,13.448627804931705
Q2 (2.250488 resident bpw),20,up,2.5,136,0.6466494185856626,0.20058363676071167,13.448627804931705
Q2 (2.250488 resident bpw),20,up,3.0,136,0.6774770723179746,0.19259534776210785,13.448627804931705
Q2 (2.250488 resident bpw),20,up,4.0,136,0.7798932275555653,0.16033309698104858,13.448627804931705
Q2 (2.250488 resident bpw),39,down,0.0,153,0.0,0.37476977705955505,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,0.05,153,0.09032005317579295,0.3669726252555847,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,0.1,153,0.20502723127858513,0.345367431640625,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,0.2,153,0.2876729054362499,0.32951515913009644,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,0.3,153,0.36169345781209594,0.319534033536911,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,0.5,153,0.4271746578223622,0.30194586515426636,2.9246792889019972
