projection,method,physical_budget_bpw,invocations,requests,mean,ci_low,ci_high,median,p10,p25,p75,p90,p95,p99,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
down,generalized,0.1,400,16,0.1457181280239858,0.1224634899775875,0.17300382510772294,0.08731591914926579,-0.06785168693873926,0.003109578827147158,0.25017485403735895,0.49172799553704116,0.6201697558182472,0.7351804492308219,0.0025,0.0,0.0,0.0
down,generalized,0.2,400,16,0.1907440537088958,0.16434501725096398,0.22036703464971794,0.15213452142534734,-0.06706964920579862,0.03012910070173569,0.31534927095955334,0.5558107249484264,0.6687879233722933,0.7849872808322379,0.01,0.0,0.0,0.0
down,generalized,0.5,400,16,0.2895552638655218,0.25322833888666507,0.324230212769344,0.2543485925423499,-0.029562334257415827,0.11979553563064249,0.4528948082168791,0.6887608644291667,0.7809177044908318,0.883131907516566,0.0475,0.005,0.0,0.0
down,generalized,1.0,400,16,0.3789308010558451,0.33841917204435745,0.41722862719135967,0.36525718996440526,0.052913396161077056,0.1772630818093773,0.5673335597491861,0.7839778418707619,0.8765335430632594,0.9377345086096422,0.0875,0.0425,0.0075,0.0
down,learned_s11,0.1,400,16,0.13565819976836577,0.11475270241283969,0.15592213289719392,0.10500558787729336,-0.08542917266551155,0.007004376873333468,0.23576450211501881,0.4290328189789441,0.5367745553005464,0.7216551599852837,0.0,0.0,0.0,0.0
down,learned_s11,0.2,400,16,0.18428818374169637,0.15785517146625605,0.21118981703908998,0.1450840018386021,-0.05475749439254021,0.041977326565307366,0.3146311095911053,0.5164129718188876,0.6213823495832164,0.7297840827622,0.0025,0.0,0.0,0.0
down,learned_s11,0.5,400,16,0.2795407887900151,0.24421497662097832,0.3120525404370126,0.23747467370299058,-0.024889927490750804,0.10564790325953846,0.45681022102584934,0.6578685619275392,0.7400227609963812,0.8430814872490149,0.025,0.0025,0.0,0.0
down,learned_s11,1.0,400,16,0.3749303071411012,0.3384044525951016,0.4112925830514884,0.356489024807381,0.06885386339416522,0.1981020758362737,0.5565207594310473,0.7693266951535761,0.8217803782290805,0.9091543094839403,0.07,0.015,0.005,0.0
down,learned_s29,0.1,400,16,0.13095224123090368,0.10814349324074282,0.15217121908722273,0.09973604886763054,-0.07291374231177969,-0.0006705048861462837,0.21492053660375846,0.397381422717016,0.5186117851682176,0.7007719677486618,0.0025,0.0,0.0,0.0
down,learned_s29,0.2,400,16,0.1731542297431704,0.1512326121880877,0.1954108508513527,0.14871620579217826,-0.08757170761886666,0.025912860021554962,0.2967376661452419,0.5060613005650315,0.6177306849818455,0.757770689484376,0.005,0.0,0.0,0.0
down,learned_s29,0.5,400,16,0.2734897032448763,0.24576244292371682,0.3052262736630404,0.23916245999970664,-0.029210131464971128,0.09186183548278959,0.429347581570185,0.6468076409414872,0.7603494392276511,0.8741033410232533,0.0325,0.0075,0.0,0.0
