layer,expert_id,projection,bits,quantizer,relative_atom_mse,median_per_atom_relative_mse,p90_per_atom_relative_mse
0,1,gate,2,nested_prefix,1.1133863030390752,0.7644287201210449,1.125392678281918
0,1,gate,2,independent,0.7176794628340097,0.6496514809014831,0.7781643244417111
0,1,gate,4,nested_prefix,0.06787599615258222,0.0474199408535598,0.07046377368361183
0,1,gate,4,independent,0.023513779801445752,0.015527598961740427,0.022978227773176103
0,1,gate,8,nested_prefix,0.00027646115550173197,0.0001851665026592698,0.00027008564032417274
0,1,gate,8,independent,7.151245078232034e-05,4.720126186938145e-05,6.950974991023122e-05
0,1,up,2,nested_prefix,0.9028944028767425,0.7492747854795301,1.079963998427445
0,1,up,2,independent,0.6699412913153479,0.6409435502467941,0.7695374547927133
0,1,up,4,nested_prefix,0.0567890975895542,0.04681342217984022,0.06788354526752544
0,1,up,4,independent,0.018253168740582464,0.015205322119324346,0.022025101364747154
0,1,up,8,nested_prefix,0.00022539085124831764,0.00018147391095694993,0.000262666823095294
0,1,up,8,independent,5.479168714764045e-05,4.5882187676367034e-05,6.649674347828333e-05
0,1,down,2,nested_prefix,2.364349824847102,0.49864634677404324,4.1867023107685295
0,1,down,2,independent,0.775155254807156,0.7732605968209023,0.8668703191291988
0,1,down,4,nested_prefix,0.12872862012305164,0.03243263501602457,0.22473406249975464
0,1,down,4,independent,0.04483307717576257,0.010707054525293918,0.08107680895284453
0,1,down,8,nested_prefix,0.0005044548587787601,0.00012302607214999142,0.0008858476129494788
0,1,down,8,independent,0.00012843298821156962,3.1870771276642215e-05,0.00022698023285771892
4,28,gate,2,nested_prefix,0.8720327133068038,0.8644669446741094,1.1594456861911517
4,28,gate,2,independent,0.7018362192586928,0.7060505754916417,0.8110320196946806
4,28,gate,4,nested_prefix,0.05457744877227117,0.05435512258858782,0.07238552084308518
4,28,gate,4,independent,0.017645458082393317,0.017599850670685466,0.023759400218554463
4,28,gate,8,nested_prefix,0.00021215379911075971,0.0002102672965015792,0.000282642817556274
4,28,gate,8,independent,5.39751507557964e-05,5.37880108590451e-05,7.133648727354422e-05
4,28,up,2,nested_prefix,0.9139114720580723,0.8623523027395001,1.1598038304721976
4,28,up,2,independent,0.7051970237023241,0.7032326588016873,0.8100193591173528
4,28,up,4,nested_prefix,0.05690980166636324,0.0539592657126986,0.07220582501661757
4,28,up,4,independent,0.018405474203494133,0.01753963313795072,0.023526562070329698
4,28,up,8,nested_prefix,0.00021922797744542956,0.00020894438237875607,0.00027891423083707635
4,28,up,8,independent,5.566403796325115e-05,5.308462420394367e-05,7.119067541385188e-05
4,28,down,2,nested_prefix,2.6256474934382834,2.43290722812601,3.843305747264879
4,28,down,2,independent,0.9045753392651297,0.9055427373828278,0.942352821300082
4,28,down,4,nested_prefix,0.1630769714501483,0.15354420753659717,0.23069672792529583
4,28,down,4,independent,0.05334656714502211,0.05079285448793205,0.07485440421199947
4,28,down,8,nested_prefix,0.0006330113096056551,0.0005994818668701501,0.000888811346481689
4,28,down,8,independent,0.00016168946625561923,0.0001524683610642815,0.00022743988673787474
20,5,gate,2,nested_prefix,0.9679525131896346,0.8773448873980048,1.2046604860808219
20,5,gate,2,independent,0.715023754268551,0.7090802075504588,0.816286762175275
20,5,gate,4,nested_prefix,0.05854582711795594,0.05488985611589933,0.07535427923239878
20,5,gate,4,independent,0.019026145758010364,0.017865201420485734,0.024503545107624577
20,5,gate,8,nested_prefix,0.00022742378521941058,0.00021384390435535278,0.0002935153024783361
20,5,gate,8,independent,5.8477837492379363e-05,5.4333418950963734e-05,7.408496288555329e-05
20,5,up,2,nested_prefix,0.916979777290778,0.8629592771918324,1.1543223318231015
20,5,up,2,independent,0.7098047639996987,0.7040570857094477,0.8096630963562981
20,5,up,4,nested_prefix,0.056474893764835915,0.05374092019901844,0.07218144170214598
