layer,expert_id,projection,bits,relative_atom_mse,observed_master_prefix_levels
0,1,gate,2,1.1133862733840942,4
0,1,gate,4,0.06787599623203278,16
0,1,gate,8,0.00027646112721413374,256
0,1,gate,16,1.0653906645785582e-09,54621
0,1,up,2,0.9028943777084351,4
0,1,up,4,0.0567890964448452,16
0,1,up,8,0.00022539086057804525,256
0,1,up,16,8.425847797255415e-10,55044
0,1,down,2,2.364349842071533,4
0,1,down,4,0.12872862815856934,16
0,1,down,8,0.000504454888869077,256
0,1,down,16,1.931339310701219e-09,44146
0,8,gate,2,1.5168330669403076,4
0,8,gate,4,0.08607685565948486,16
0,8,gate,8,0.0003247751446906477,256
0,8,gate,16,1.2764684864663423e-09,52551
0,8,up,2,0.8124138712882996,4
0,8,up,4,0.051161523908376694,16
0,8,up,8,0.0001988187723327428,256
0,8,up,16,7.541637869756812e-10,54591
0,8,down,2,2.5300800800323486,4
0,8,down,4,0.13695470988750458,16
0,8,down,8,0.0005370540311560035,256
0,8,down,16,2.063572868138408e-09,43455
0,17,gate,2,0.9728900194168091,4
0,17,gate,4,0.06221636384725571,16
0,17,gate,8,0.00025228335289284587,256
0,17,gate,16,9.288573243892984e-10,56289
0,17,up,2,1.0751709938049316,4
0,17,up,4,0.065822072327137,16
0,17,up,8,0.0002534475352149457,256
0,17,up,16,9.748605256376663e-10,56292
0,17,down,2,2.7192540168762207,4
0,17,down,4,0.15119093656539917,16
0,17,down,8,0.0005874258931726217,256
0,17,down,16,2.2472346206114935e-09,43838
0,22,gate,2,1.1204173564910889,4
0,22,gate,4,0.0686841607093811,16
0,22,gate,8,0.00027037979452870786,256
0,22,gate,16,1.0087443103046212e-09,56792
0,22,up,2,0.928662896156311,4
0,22,up,4,0.0562184602022171,16
0,22,up,8,0.0002216499124187976,256
0,22,up,16,8.347197932856432e-10,57122
0,22,down,2,2.7122795581817627,4
0,22,down,4,0.157532200217247,16
0,22,down,8,0.0006117235170677304,256
0,22,down,16,2.350124317374025e-09,44159
0,114,gate,2,2.4079372882843018,4
0,114,gate,4,0.13320043683052063,16
0,114,gate,8,0.0005281155463308096,256
0,114,gate,16,2.006664834297567e-09,56023
0,114,up,2,0.9507043957710266,4
0,114,up,4,0.05888691172003746,16
0,114,up,8,0.00022670028556603938,256
0,114,up,16,8.67508509472259e-10,57659
0,114,down,2,2.6685397624969482,4
0,114,down,4,0.16074137389659882,16
0,114,down,8,0.0006222657975740731,256
0,114,down,16,2.3867066101246337e-09,43716
0,158,gate,2,1.745758056640625,4
0,158,gate,4,0.10495717823505402,16
0,158,gate,8,0.00041102126124314964,256
0,158,gate,16,1.5507015671545332e-09,55013
0,158,up,2,0.9112841486930847,4
0,158,up,4,0.05777527019381523,16
0,158,up,8,0.00021789935999549925,256
0,158,up,16,8.413203467227959e-10,57275
0,158,down,2,2.786689519882202,4
0,158,down,4,0.16209830343723297,16
0,158,down,8,0.0006279945955611765,256
