reference_bytes,external_bytes,external_multiplier,resident_basis_bytes,layer,expert_id,replicas,partial_replica_fraction
1835008,9015296,4.912946428571429,16777216,0,1,4,0.25
1835008,9015296,4.912946428571429,16777216,0,8,4,0.25
1835008,9015296,4.912946428571429,16777216,0,17,4,0.25
1835008,9015296,4.912946428571429,16777216,0,22,4,0.25
1835008,9015296,4.912946428571429,16777216,0,114,4,0.25
1835008,9015296,4.912946428571429,16777216,0,158,4,0.25
1835008,9015296,4.912946428571429,16777216,0,164,4,0.25
1835008,9015296,4.912946428571429,16777216,0,181,4,0.25
1835008,9015296,4.912946428571429,16777216,0,206,4,0.25
1835008,9015296,4.912946428571429,16777216,0,238,4,0.25
1835008,9015296,4.912946428571429,16777216,0,248,4,0.25
1835008,9015296,4.912946428571429,16777216,0,252,4,0.25
1835008,9015296,4.912946428571429,16777216,4,28,4,0.25
1835008,9015296,4.912946428571429,16777216,4,36,4,0.25
1835008,9015296,4.912946428571429,16777216,4,82,4,0.25
1835008,9015296,4.912946428571429,16777216,4,111,4,0.25
1835008,9015296,4.912946428571429,16777216,4,129,4,0.25
1835008,9015296,4.912946428571429,16777216,4,134,4,0.25
1835008,9015296,4.912946428571429,16777216,4,143,4,0.25
1835008,9015296,4.912946428571429,16777216,4,154,4,0.25
1835008,9015296,4.912946428571429,16777216,4,190,4,0.25
1835008,9015296,4.912946428571429,16777216,4,193,4,0.25
1835008,9015296,4.912946428571429,16777216,4,220,4,0.25
1835008,9015296,4.912946428571429,16777216,4,252,4,0.25
1835008,9015296,4.912946428571429,16777216,20,5,4,0.25
1835008,9015296,4.912946428571429,16777216,20,30,4,0.25
1835008,9015296,4.912946428571429,16777216,20,44,4,0.25
1835008,9015296,4.912946428571429,16777216,20,45,4,0.25
1835008,9015296,4.912946428571429,16777216,20,46,4,0.25
1835008,9015296,4.912946428571429,16777216,20,54,4,0.25
1835008,9015296,4.912946428571429,16777216,20,72,4,0.25
1835008,9015296,4.912946428571429,16777216,20,142,4,0.25
1835008,9015296,4.912946428571429,16777216,20,148,4,0.25
1835008,9015296,4.912946428571429,16777216,20,156,4,0.25
1835008,9015296,4.912946428571429,16777216,20,232,4,0.25
1835008,9015296,4.912946428571429,16777216,20,240,4,0.25
2301952,9482240,4.119217081850533,16777216,39,22,4,0.25
2301952,9482240,4.119217081850533,16777216,39,28,4,0.25
2301952,9482240,4.119217081850533,16777216,39,37,4,0.25
2301952,9482240,4.119217081850533,16777216,39,43,4,0.25
2301952,9482240,4.119217081850533,16777216,39,55,4,0.25
2301952,9482240,4.119217081850533,16777216,39,70,4,0.25
2301952,9482240,4.119217081850533,16777216,39,119,4,0.25
2301952,9482240,4.119217081850533,16777216,39,147,4,0.25
2301952,9482240,4.119217081850533,16777216,39,153,4,0.25
2301952,9482240,4.119217081850533,16777216,39,189,4,0.25
2301952,9482240,4.119217081850533,16777216,39,193,4,0.25
2301952,9482240,4.119217081850533,16777216,39,235,4,0.25
