method,requested_rank,fit,coefficient_bits,down_physical_bpw,invocations,mean_recovery,median_recovery,p10_recovery,p90_recovery
B0_raw_shared,32,activation_ls,4,0.09375,133,0.18591738509056263,0.17842251062393188,-0.03966994285583495,0.4498804211616516
B0_raw_shared,32,activation_ls,8,0.15625,133,0.18550427874228112,0.1758115291595459,-0.03765387535095214,0.44949318170547486
B0_raw_shared,32,activation_ls,16,0.28125,133,0.18548629516945744,0.17580097913742065,-0.03803648948669432,0.44987639188766476
B0_raw_shared,32,projection,4,0.09375,133,0.045179977004689384,0.05844247341156006,-0.057651066780090326,0.13999825716018677
B0_raw_shared,32,projection,8,0.15625,133,0.04488667688871685,0.05740070343017578,-0.06066606044769287,0.13994885683059693
B0_raw_shared,32,projection,16,0.28125,133,0.04492276503627462,0.0576939582824707,-0.060386562347412104,0.1396799087524414
B0_raw_shared,64,activation_ls,4,0.15625,133,0.20322369588048836,0.1993667483329773,-0.032776260375976564,0.4764788866043091
B0_raw_shared,64,activation_ls,8,0.28125,133,0.20378023341186063,0.1940211057662964,-0.035995602607727044,0.4806628584861755
B0_raw_shared,64,activation_ls,16,0.53125,133,0.20380265551402157,0.1935826539993286,-0.03650000095367431,0.4806920289993286
B0_raw_shared,64,projection,4,0.15625,133,0.07039460562225572,0.08209294080734253,-0.07004735469818114,0.21487565040588377
B0_raw_shared,64,projection,8,0.28125,133,0.07153882478412829,0.08206534385681152,-0.06160521507263183,0.20297603607177733
B0_raw_shared,64,projection,16,0.53125,133,0.07153061054702989,0.08204585313796997,-0.062118887901306145,0.20277009010314942
B0_raw_shared,128,activation_ls,4,0.28125,133,0.2252903818187857,0.2268810272216797,-0.03373064994812011,0.523110818862915
B0_raw_shared,128,activation_ls,8,0.53125,133,0.22674509188286343,0.2256413698196411,-0.03350253105163574,0.5234149575233459
B0_raw_shared,128,activation_ls,16,1.03125,133,0.22676538704033183,0.22540223598480225,-0.03348033428192138,0.5232372760772704
B0_raw_shared,128,projection,4,0.28125,133,0.13485758734824962,0.13544541597366333,-0.059410142898559566,0.32706639766693113
B0_raw_shared,128,projection,8,0.53125,133,0.13567615855009035,0.13863110542297363,-0.034635043144226066,0.3383305072784423
B0_raw_shared,128,projection,16,1.03125,133,0.13574921278128946,0.14037197828292847,-0.034764623641967765,0.3375514030456543
B0_raw_shared,256,activation_ls,4,0.5625,133,0.26514153686681186,0.2652740478515625,-0.024838614463806134,0.5993063330650328
B0_raw_shared,256,activation_ls,8,1.0625,133,0.26680779277830197,0.2723836302757263,-0.02516262531280517,0.59979350566864
B0_raw_shared,256,activation_ls,16,2.03125,133,0.266822798359663,0.2733948826789856,-0.025105071067810056,0.5998800992965697
B0_raw_shared,256,projection,4,0.5625,133,0.26508082438232305,0.27151018381118774,0.035428750514984134,0.49457238912582396
B0_raw_shared,256,projection,8,1.0625,133,0.2682502417636097,0.2713918089866638,0.06361052989959717,0.5099584341049194
B0_raw_shared,256,projection,16,2.03125,133,0.2683625570813516,0.27284568548202515,0.06364822387695312,0.5094938039779663
B0_raw_shared,512,activation_ls,4,1.09375,133,0.31738442003278805,0.2982547879219055,0.008150947093963627,0.7071265578269958
B0_raw_shared,512,activation_ls,8,2.09375,133,0.31965248522005585,0.29448604583740234,0.01054673194885254,0.7130846619606018
B0_raw_shared,512,activation_ls,16,4.03125,133,0.319587793117179,0.29399484395980835,0.01081150770187378,0.7131971836090087
B0_raw_shared,512,projection,4,1.09375,133,0.4399388701395881,0.47213655710220337,0.177396821975708,0.6743435859680176
B0_raw_shared,512,projection,8,2.09375,133,0.44588789545503776,0.4771409034729004,0.17476705312728882,0.673198401927948
B0_raw_shared,512,projection,16,4.03125,133,0.44587294275599315,0.47692573070526123,0.17321929931640626,0.6746210575103759
B1_action_shared,32,activation_ls,4,0.09375,133,0.2954650440610441,0.22707831859588623,-0.0075133323669433465,0.8052504658699036
B1_action_shared,32,activation_ls,8,0.15625,133,0.29610530595134077,0.22875440120697021,-0.011195945739746083,0.8039510488510132
B1_action_shared,32,activation_ls,16,0.28125,133,0.2960551533483921,0.22822022438049316,-0.011272859573364246,0.8038427352905273
B1_action_shared,32,projection,4,0.09375,133,0.2060157826968602,0.09820175170898438,-0.057993078231811525,0.675577974319458
B1_action_shared,32,projection,8,0.15625,133,0.2048067912123257,0.09240144491195679,-0.059959006309509275,0.6764030814170837
B1_action_shared,32,projection,16,0.28125,133,0.20482896414018215,0.0933070182800293,-0.05970065593719482,0.676302146911621
B1_action_shared,64,activation_ls,4,0.15625,133,0.3319435989050041,0.2621036767959595,0.006279873847961427,0.8325217723846435
B1_action_shared,64,activation_ls,8,0.28125,133,0.3322828685430656,0.26776838302612305,-0.004338240623474104,0.8312217354774475
B1_action_shared,64,activation_ls,16,0.53125,133,0.3323087710186951,0.2680262327194214,-0.004005146026611313,0.8312180280685425
B1_action_shared,64,projection,4,0.15625,133,0.2575576484651494,0.1603640913963318,-0.03860108852386474,0.7869322061538696
B1_action_shared,64,projection,8,0.28125,133,0.2567600047677979,0.15967369079589844,-0.036934518814086915,0.7975520253181456
B1_action_shared,64,projection,16,0.53125,133,0.25679487393314676,0.1597033143043518,-0.03655097484588623,0.7981560826301574
B1_action_shared,128,activation_ls,4,0.28125,133,0.3757323031138657,0.3249068260192871,0.007078886032104495,0.8875271081924438
B1_action_shared,128,activation_ls,8,0.53125,133,0.3761773311105886,0.31351906061172485,0.010712575912475587,0.8882958769798278
B1_action_shared,128,activation_ls,16,1.03125,133,0.376182981003496,0.3127050995826721,0.01079699993133545,0.88813716173172
B1_action_shared,128,projection,4,0.28125,133,0.3392075228511839,0.28944557905197144,-0.0693850040435791,0.8570471882820129
B1_action_shared,128,projection,8,0.53125,133,0.3387112711605273,0.28237247467041016,-0.059157800674438474,0.8536375880241394
B1_action_shared,128,projection,16,1.03125,133,0.33873214578270017,0.2820218801498413,-0.05884921550750732,0.8534415006637573
B1_action_shared,256,activation_ls,4,0.5625,133,0.413305980370457,0.36830902099609375,0.010480535030364993,0.938990819454193
B1_action_shared,256,activation_ls,8,1.0625,133,0.41797683292761784,0.3800233006477356,0.013483214378356935,0.9400700926780701
B1_action_shared,256,activation_ls,16,2.03125,133,0.41793740019762426,0.37779390811920166,0.013476705551147463,0.9400699138641357
B1_action_shared,256,projection,4,0.5625,133,0.46955129123271855,0.46847277879714966,0.058082211017608645,0.9296860456466675
B1_action_shared,256,projection,8,1.0625,133,0.4716754277845971,0.47417283058166504,0.055550122261047365,0.92538822889328
B1_action_shared,256,projection,16,2.03125,133,0.4717229241715338,0.4732494354248047,0.05667072534561157,0.9251046895980835
B1_action_shared,512,activation_ls,4,0.8125,41,0.5612033852716771,0.6099677681922913,0.007035195827484131,0.9865220785140991
B1_action_shared,512,activation_ls,4,1.03125,34,0.35669490169076357,0.3300188481807709,0.0567747175693512,0.6850085079669952
B1_action_shared,512,activation_ls,4,1.09375,58,0.4067263058547316,0.37561550736427307,0.02426810264587403,0.8171265780925754
B1_action_shared,512,activation_ls,8,1.59375,41,0.5656927009908165,0.6206401586532593,0.010262012481689453,0.9929974675178528
B1_action_shared,512,activation_ls,8,1.96875,34,0.35809996724128723,0.3478415310382843,0.06093310117721558,0.6898752570152282
B1_action_shared,512,activation_ls,8,2.09375,58,0.4139239192008972,0.37671300768852234,0.022850412130355845,0.8206157565116884
B1_action_shared,512,activation_ls,16,3.0625,41,0.5656814284440947,0.6206668019294739,0.010634839534759521,0.9930623173713684
B1_action_shared,512,activation_ls,16,3.8125,34,0.35811247545130115,0.34806495904922485,0.06101601719856263,0.6897716343402862
B1_action_shared,512,activation_ls,16,4.03125,58,0.4140012839744831,0.37766745686531067,0.0229888141155243,0.8204115450382234
B1_action_shared,512,projection,4,0.8125,41,0.6083568290966314,0.6987510919570923,0.09346932172775269,0.9924633502960205
B1_action_shared,512,projection,4,1.03125,34,0.5136526945759269,0.5920021831989288,0.1326213002204895,0.7668296694755554
B1_action_shared,512,projection,4,1.09375,58,0.5489763227002374,0.6116005778312683,0.2052318274974823,0.8318866074085236
B1_action_shared,512,projection,8,1.59375,41,0.612630909535943,0.70085608959198,0.08840072154998779,0.9949407577514648
B1_action_shared,512,projection,8,1.96875,34,0.5160940850482267,0.596331775188446,0.12496506571769717,0.7693455755710602
B1_action_shared,512,projection,8,2.09375,58,0.5537208555073574,0.6110392510890961,0.24377519488334656,0.8430236279964447
B1_action_shared,512,projection,16,3.0625,41,0.6125807791221433,0.7017574906349182,0.08864325284957886,0.9948472380638123
B1_action_shared,512,projection,16,3.8125,34,0.5162786595961627,0.5966499447822571,0.12622369527816774,0.7701808333396911
B1_action_shared,512,projection,16,4.03125,58,0.553590135327701,0.6107166111469269,0.24321098923683165,0.8428681492805481
B2_proxy_shared,32,activation_ls,4,0.09375,133,0.3081466008846025,0.2416616678237915,-0.00901007652282714,0.8123738765716553
B2_proxy_shared,32,activation_ls,8,0.15625,133,0.3088745223848443,0.24648559093475342,-0.009357559680938703,0.8095778226852417
B2_proxy_shared,32,activation_ls,16,0.28125,133,0.3088861076455367,0.24631720781326294,-0.009303474426269514,0.8117749094963074
B2_proxy_shared,32,projection,4,0.09375,133,0.2731511323971856,0.2245526909828186,-0.09038076400756834,0.7458250761032105
B2_proxy_shared,32,projection,8,0.15625,133,0.27703517227244556,0.22925853729248047,-0.0664475440979004,0.746565306186676
B2_proxy_shared,32,projection,16,0.28125,133,0.276993325330261,0.2278713583946228,-0.06648545265197754,0.7472621917724609
B2_proxy_shared,64,activation_ls,4,0.15625,133,0.3364304080045313,0.2740745544433594,0.0007076144218444871,0.8443482041358947
B2_proxy_shared,64,activation_ls,8,0.28125,133,0.3376904815659487,0.27698814868927,-0.006133174896240216,0.8386975526809692
B2_proxy_shared,64,activation_ls,16,0.53125,133,0.33762997433655245,0.27644193172454834,-0.0044228911399841146,0.8387176990509033
B2_proxy_shared,64,projection,4,0.15625,133,0.32942589691707064,0.27004992961883545,-0.026226735115051244,0.8152913808822632
B2_proxy_shared,64,projection,8,0.28125,133,0.333395320670049,0.2796751856803894,-0.029281520843505847,0.8150246977806092
B2_proxy_shared,64,projection,16,0.53125,133,0.3333557767975599,0.280124306678772,-0.02917206287384032,0.8151052832603455
B2_proxy_shared,128,activation_ls,4,0.28125,133,0.37340474352800757,0.31392180919647217,-0.006306052207946751,0.8918457746505737
B2_proxy_shared,128,activation_ls,8,0.53125,133,0.37784895547350544,0.32276082038879395,0.011110687255859375,0.8926919937133788
B2_proxy_shared,128,activation_ls,16,1.03125,133,0.37792301357240604,0.3228253722190857,0.010702705383300782,0.8926974654197692
