comparison,budget_bpw,pairs,requests,mean_difference,median_difference,ci_low,ci_high
RunA_minus_current_Q2,0.0,39,10,0.0,0.0,0.0,0.0
RunA_minus_current_Q2,0.5,39,10,0.14786335318487018,0.1583402209162348,0.10909709375615431,0.17689344869391552
RunA_minus_current_Q2,0.75,39,10,0.12176471439268934,0.1250334533835623,0.09183014916656561,0.15008370636808083
RunA_minus_current_Q2,1.0,39,10,0.10854199523602083,0.1060072764638651,0.07747384850430662,0.13901475471614427
RunA_minus_current_Q2,1.5,39,10,0.06604085290238153,0.05864144712350139,0.0415524444516802,0.09733478776145425
RunA_minus_current_Q2,2.0,39,10,0.030074295663319754,0.03309005249654329,0.0057358865503144285,0.055206686491600564
RunA_minus_current_Q2,2.5,39,10,0.0004098455234735934,0.005131376520816522,-0.020757935824563076,0.029829494303349205
RunA_minus_current_Q2,3.0,39,10,-0.025963485699799345,-0.015597237960140897,-0.04362926378871512,-0.006241782794012103
RunA_minus_current_Q2,4.0,39,10,-0.05516422048594696,-0.05151666912118058,-0.07710379359284834,-0.03752767162264346
RunB_minus_current_Q2,0.5,133,16,-0.08176072580600179,-0.058572380471398344,-0.15721191746054844,-0.04458306463978217
RunB_minus_current_Q2,0.75,133,16,-0.08920124689166967,-0.05271165623265717,-0.16346403442332413,-0.05462314864076145
RunB_minus_current_Q2,1.0,133,16,-0.10051942372704295,-0.06639091871576597,-0.17043791249689655,-0.06639275559304648
RunB_minus_current_Q2,1.5,133,16,-0.11291682682542754,-0.06358499853192634,-0.18362666641920308,-0.08058929346325165
RunB_minus_current_Q2,2.0,133,16,-0.10403746904080943,-0.06428480596466157,-0.17886809344136104,-0.07071344042062959
RunB_minus_current_Q2,2.5,133,16,-0.11733226612190759,-0.07703964113901007,-0.1919567521205416,-0.08597776130018316
RunB_minus_current_Q2,3.0,133,16,-0.1320177902693734,-0.09758032680881779,-0.18611396770949787,-0.1012092134030108
RunB_minus_current_Q2,4.0,133,16,-0.143867873634197,-0.11607306310973198,-0.21070848892171407,-0.11273649662229476
