method,layer,expert_id,budget_bpw,invocations,median_recovery
A0_current_Q2_whole_projection,0,1,0.0,4,0.0
A0_current_Q2_whole_projection,0,1,0.5,4,0.67746268439925
A0_current_Q2_whole_projection,0,1,0.75,4,0.7481763548462292
A0_current_Q2_whole_projection,0,1,1.0,4,0.8080633102304074
A0_current_Q2_whole_projection,0,1,1.5,4,0.8758410018160467
A0_current_Q2_whole_projection,0,1,2.0,4,0.9258441830363187
A0_current_Q2_whole_projection,0,1,2.5,4,0.9601466725318972
A0_current_Q2_whole_projection,0,1,3.0,4,0.972381651958405
A0_current_Q2_whole_projection,0,1,4.0,4,0.9854480244212802
A0_current_Q2_whole_projection,0,8,0.0,1,0.0
A0_current_Q2_whole_projection,0,8,0.5,1,0.6185314834901716
A0_current_Q2_whole_projection,0,8,0.75,1,0.6366215484265242
A0_current_Q2_whole_projection,0,8,1.0,1,0.69119593965505
A0_current_Q2_whole_projection,0,8,1.5,1,0.7677628771539862
A0_current_Q2_whole_projection,0,8,2.0,1,0.8112485223462775
A0_current_Q2_whole_projection,0,8,2.5,1,0.8457441640582465
A0_current_Q2_whole_projection,0,8,3.0,1,0.9038670613634401
A0_current_Q2_whole_projection,0,8,4.0,1,0.9372900427959433
A0_current_Q2_whole_projection,0,17,0.0,4,0.0
A0_current_Q2_whole_projection,0,17,0.5,4,0.6023540250925137
A0_current_Q2_whole_projection,0,17,0.75,4,0.6345391359395657
A0_current_Q2_whole_projection,0,17,1.0,4,0.6584366390980495
A0_current_Q2_whole_projection,0,17,1.5,4,0.7345089784749981
A0_current_Q2_whole_projection,0,17,2.0,4,0.7801429083655416
A0_current_Q2_whole_projection,0,17,2.5,4,0.8135571773661954
A0_current_Q2_whole_projection,0,17,3.0,4,0.8569356070810157
A0_current_Q2_whole_projection,0,17,4.0,4,0.8890641691532721
A0_current_Q2_whole_projection,0,22,0.0,4,0.0
A0_current_Q2_whole_projection,0,22,0.5,4,0.7532540226903732
A0_current_Q2_whole_projection,0,22,0.75,4,0.8323567120853099
A0_current_Q2_whole_projection,0,22,1.0,4,0.9001049870740846
A0_current_Q2_whole_projection,0,22,1.5,4,0.9538136498710902
A0_current_Q2_whole_projection,0,22,2.0,4,0.9684017612335312
A0_current_Q2_whole_projection,0,22,2.5,4,0.978666285265756
A0_current_Q2_whole_projection,0,22,3.0,4,0.9815256805397281
A0_current_Q2_whole_projection,0,22,4.0,4,0.9865031290295765
A0_current_Q2_whole_projection,0,114,0.0,1,0.0
A0_current_Q2_whole_projection,0,114,0.5,1,0.7934572195206717
A0_current_Q2_whole_projection,0,114,0.75,1,0.8303472822205173
A0_current_Q2_whole_projection,0,114,1.0,1,0.8631117784595308
A0_current_Q2_whole_projection,0,114,1.5,1,0.8948189109435775
A0_current_Q2_whole_projection,0,114,2.0,1,0.9160080495944428
A0_current_Q2_whole_projection,0,114,2.5,1,0.9247082123772776
A0_current_Q2_whole_projection,0,114,3.0,1,0.9409525875212609
A0_current_Q2_whole_projection,0,114,4.0,1,0.9556087867657463
A0_current_Q2_whole_projection,0,158,0.0,4,0.0
A0_current_Q2_whole_projection,0,158,0.5,4,0.7207147757982526
A0_current_Q2_whole_projection,0,158,0.75,4,0.7929118609263563
A0_current_Q2_whole_projection,0,158,1.0,4,0.8340994350765466
A0_current_Q2_whole_projection,0,158,1.5,4,0.8968644514618093
A0_current_Q2_whole_projection,0,158,2.0,4,0.9473425922607288
A0_current_Q2_whole_projection,0,158,2.5,4,0.9611846042468181
A0_current_Q2_whole_projection,0,158,3.0,4,0.9682662183824166
A0_current_Q2_whole_projection,0,158,4.0,4,0.9727507885637714
A0_current_Q2_whole_projection,0,164,0.0,3,0.0
A0_current_Q2_whole_projection,0,164,0.5,3,0.7799325489272022
A0_current_Q2_whole_projection,0,164,0.75,3,0.8523849304220867
A0_current_Q2_whole_projection,0,164,1.0,3,0.888738006254028
A0_current_Q2_whole_projection,0,164,1.5,3,0.9360316977505754
A0_current_Q2_whole_projection,0,164,2.0,3,0.9627209109056265
A0_current_Q2_whole_projection,0,164,2.5,3,0.973879600205393
A0_current_Q2_whole_projection,0,164,3.0,3,0.9867163514282651
A0_current_Q2_whole_projection,0,164,4.0,3,0.9906620934414465
A0_current_Q2_whole_projection,0,181,0.0,4,0.0
A0_current_Q2_whole_projection,0,181,0.5,4,0.8294545313403667
A0_current_Q2_whole_projection,0,181,0.75,4,0.8931216256352917
A0_current_Q2_whole_projection,0,181,1.0,4,0.926926597087643
A0_current_Q2_whole_projection,0,181,1.5,4,0.9581735055551892
A0_current_Q2_whole_projection,0,181,2.0,4,0.9751846388368656
A0_current_Q2_whole_projection,0,181,2.5,4,0.9846656519782887
A0_current_Q2_whole_projection,0,181,3.0,4,0.9881905716523174
A0_current_Q2_whole_projection,0,181,4.0,4,0.9891973655830295
A0_current_Q2_whole_projection,0,206,0.0,4,0.0
A0_current_Q2_whole_projection,0,206,0.5,4,0.914446821712178
A0_current_Q2_whole_projection,0,206,0.75,4,0.9496219363903815
A0_current_Q2_whole_projection,0,206,1.0,4,0.9680224307228846
A0_current_Q2_whole_projection,0,206,1.5,4,0.983324323111525
A0_current_Q2_whole_projection,0,206,2.0,4,0.9902416476406418
A0_current_Q2_whole_projection,0,206,2.5,4,0.9947537604061291
A0_current_Q2_whole_projection,0,206,3.0,4,0.9974128091705442
A0_current_Q2_whole_projection,0,206,4.0,4,0.9983235791445502
A0_current_Q2_whole_projection,0,238,0.0,4,0.0
A0_current_Q2_whole_projection,0,238,0.5,4,0.8310981078291703
A0_current_Q2_whole_projection,0,238,0.75,4,0.8724389348145414
A0_current_Q2_whole_projection,0,238,1.0,4,0.9138991058254365
A0_current_Q2_whole_projection,0,238,1.5,4,0.9653839805152962
A0_current_Q2_whole_projection,0,238,2.0,4,0.9763176786085759
A0_current_Q2_whole_projection,0,238,2.5,4,0.9840959523888569
