method,layer,budget_bpw,invocations,median_recovery,p10_recovery,p90_recovery
A0_current_Q2_whole_projection,0,0.0,41,0.0,0.0,0.0
A0_current_Q2_whole_projection,0,0.5,41,0.7799325489272022,0.5820231944138304,0.9331951446907231
A0_current_Q2_whole_projection,0,0.75,41,0.843515366046875,0.6194942422327812,0.9581384576315909
A0_current_Q2_whole_projection,0,1.0,41,0.888738006254028,0.6631944350240451,0.9733417420588069
A0_current_Q2_whole_projection,0,1.5,41,0.9443542322945505,0.7522704565578129,0.9849583775572617
A0_current_Q2_whole_projection,0,2.0,41,0.9659144252540423,0.7805088883367441,0.9916144822989023
A0_current_Q2_whole_projection,0,2.5,41,0.9755507564125462,0.8201398913230067,0.9954435499473707
A0_current_Q2_whole_projection,0,3.0,41,0.9814971598937543,0.8227594863104875,0.9980461383617824
A0_current_Q2_whole_projection,0,4.0,41,0.9864656469371476,0.8996136151883422,0.998913087089072
A0_current_Q2_whole_projection,4,0.0,34,0.0,0.0,0.0
A0_current_Q2_whole_projection,4,0.5,34,0.5164741680439047,0.3332266913885857,0.7305112145667052
A0_current_Q2_whole_projection,4,0.75,34,0.5890312856611178,0.368391872988028,0.7791090159593759
A0_current_Q2_whole_projection,4,1.0,34,0.6632453899237367,0.45833876797926315,0.7989521409593449
A0_current_Q2_whole_projection,4,1.5,34,0.7254444269403092,0.5576498159475113,0.8508679367384727
A0_current_Q2_whole_projection,4,2.0,34,0.7769823036165675,0.6146505352725441,0.8661398071951639
A0_current_Q2_whole_projection,4,2.5,34,0.815828934063135,0.683576815068605,0.9034115541737463
A0_current_Q2_whole_projection,4,3.0,34,0.8545857596437627,0.7121771811020087,0.9280280162278542
A0_current_Q2_whole_projection,4,4.0,34,0.8883354694396179,0.7809185217362323,0.9474465054683658
A0_current_Q2_whole_projection,20,0.0,24,0.0,0.0,0.0
A0_current_Q2_whole_projection,20,0.5,24,0.46641557392065536,0.3353097412969874,0.6605833784364962
A0_current_Q2_whole_projection,20,0.75,24,0.544820061023652,0.41803565944132925,0.7068342113939067
A0_current_Q2_whole_projection,20,1.0,24,0.5772738401135482,0.45715152922300983,0.726568740336649
A0_current_Q2_whole_projection,20,1.5,24,0.6526094254856677,0.5416566134487584,0.7997919375548582
A0_current_Q2_whole_projection,20,2.0,24,0.7075280794072398,0.5937002902902068,0.8463582061110323
A0_current_Q2_whole_projection,20,2.5,24,0.750278555767189,0.6495724508602274,0.8653151060589893
A0_current_Q2_whole_projection,20,3.0,24,0.7868743416769186,0.6707331445808884,0.8980302758478302
A0_current_Q2_whole_projection,20,4.0,24,0.8274428169111545,0.6845174968522149,0.9131446752111307
A0_current_Q2_whole_projection,39,0.0,34,0.0,0.0,0.0
A0_current_Q2_whole_projection,39,0.5,34,0.5512323977773602,0.40403672009922065,0.7731314872130967
A0_current_Q2_whole_projection,39,0.75,34,0.6012885089601102,0.4764921176079922,0.8189299831949292
A0_current_Q2_whole_projection,39,1.0,34,0.6487308606121537,0.5282054629243275,0.842482641645926
A0_current_Q2_whole_projection,39,1.5,34,0.7266425567284516,0.6063018761393206,0.8699869827899552
A0_current_Q2_whole_projection,39,2.0,34,0.7689334747964569,0.6644187659014058,0.8852057744672484
A0_current_Q2_whole_projection,39,2.5,34,0.8046928685732713,0.7078280950153035,0.8993039634772156
A0_current_Q2_whole_projection,39,3.0,34,0.8239000881804006,0.7559796025720549,0.9150972854803762
A0_current_Q2_whole_projection,39,4.0,34,0.8446120642946084,0.7971307565035346,0.9206314164839507
A6_corrected_screened_greedy,0,0.0,12,0.0,0.0,0.0
A6_corrected_screened_greedy,0,0.5,12,0.847454056845504,0.7642844973440459,0.8927726497053439
A6_corrected_screened_greedy,0,0.75,12,0.8553074258507727,0.8163144573975112,0.9150301332473084
A6_corrected_screened_greedy,0,1.0,12,0.8645587237182095,0.8361427182747443,0.9182404550444498
A6_corrected_screened_greedy,0,1.5,12,0.8792693761554515,0.846483882150079,0.9221636316674707
A6_corrected_screened_greedy,0,2.0,12,0.8869614272031634,0.846554919316334,0.9225738412169434
A6_corrected_screened_greedy,0,2.5,12,0.8869726480644363,0.8465574682818983,0.9238345497663153
A6_corrected_screened_greedy,0,3.0,12,0.8869726480644363,0.8465574682818983,0.9238345497663153
A6_corrected_screened_greedy,0,4.0,12,0.8869726480644363,0.8465574682818983,0.9238345497663153
A6_corrected_screened_greedy,4,0.0,10,0.0,0.0,0.0
A6_corrected_screened_greedy,4,0.5,10,0.7556958533797262,0.5591993142489576,0.8134867929237687
A6_corrected_screened_greedy,4,0.75,10,0.7747998669488804,0.6013364411585079,0.8530679088288698
A6_corrected_screened_greedy,4,1.0,10,0.7897893407806824,0.6486836321197919,0.8693164478533277
A6_corrected_screened_greedy,4,1.5,10,0.8085371559790246,0.6991621738822099,0.8840310769421442
A6_corrected_screened_greedy,4,2.0,10,0.8169395750077775,0.7163599591063452,0.8902434844025507
A6_corrected_screened_greedy,4,2.5,10,0.8181208556406872,0.7188829020363594,0.8908822403336053
A6_corrected_screened_greedy,4,3.0,10,0.8184731841342372,0.7191536692069709,0.8909084937192266
A6_corrected_screened_greedy,4,4.0,10,0.8184745805903237,0.7191562667540888,0.8909100506952194
A6_corrected_screened_greedy,20,0.0,8,0.0,0.0,0.0
A6_corrected_screened_greedy,20,0.5,8,0.7388486952392059,0.6323725090429512,0.8034136863850243
A6_corrected_screened_greedy,20,0.75,8,0.7717977260933587,0.6770949366587306,0.8278133304526224
A6_corrected_screened_greedy,20,1.0,8,0.790140338176566,0.7069726246572252,0.8429028273633785
A6_corrected_screened_greedy,20,1.5,8,0.8199747719005968,0.7525720586879954,0.8696104132033026
A6_corrected_screened_greedy,20,2.0,8,0.8319363458073555,0.7710788295678687,0.8859693756867395
A6_corrected_screened_greedy,20,2.5,8,0.8333865410935164,0.7858453135881518,0.8885190913305269
A6_corrected_screened_greedy,20,3.0,8,0.8335124066787951,0.7873800232695032,0.8896697579241747
A6_corrected_screened_greedy,20,4.0,8,0.8335150804793714,0.7873800375945719,0.8898386782565584
A6_corrected_screened_greedy,39,0.0,9,0.0,0.0,0.0
A6_corrected_screened_greedy,39,0.5,9,0.6617689007478178,0.4835555603032175,0.7568122219461492
A6_corrected_screened_greedy,39,0.75,9,0.6950422190453045,0.5495111926117471,0.7880293355009833
A6_corrected_screened_greedy,39,1.0,9,0.7202511730911284,0.6062296612311411,0.8086987622719269
A6_corrected_screened_greedy,39,1.5,9,0.7648540108581099,0.6945393694453744,0.8307915745624952
