layer,expert_id,method,requested_rank,actual_rank,fit,coefficient_bits,payload_bytes,scale_bytes,header_bytes,total_bytes,external_bytes,external_multiplier,resident_basis_bytes
0,1,B0_raw_shared,32,32,projection,4,8192,512,64,8768,6234688,3.3976353236607144,262144
0,1,B0_raw_shared,32,32,projection,8,16384,512,64,16960,6242880,3.402099609375,262144
0,1,B0_raw_shared,32,32,projection,16,32768,0,64,32832,6258752,3.4107491629464284,262144
0,1,B0_raw_shared,32,32,activation_ls,4,8192,512,64,8768,6234688,3.3976353236607144,262144
0,1,B0_raw_shared,32,32,activation_ls,8,16384,512,64,16960,6242880,3.402099609375,262144
0,1,B0_raw_shared,32,32,activation_ls,16,32768,0,64,32832,6258752,3.4107491629464284,262144
0,1,B0_raw_shared,64,64,projection,4,16384,1024,64,17472,6243392,3.402378627232143,524288
0,1,B0_raw_shared,64,64,projection,8,32768,1024,64,33856,6259776,3.4113071986607144,524288
0,1,B0_raw_shared,64,64,projection,16,65536,0,64,65600,6291520,3.4286063058035716,524288
0,1,B0_raw_shared,64,64,activation_ls,4,16384,1024,64,17472,6243392,3.402378627232143,524288
0,1,B0_raw_shared,64,64,activation_ls,8,32768,1024,64,33856,6259776,3.4113071986607144,524288
0,1,B0_raw_shared,64,64,activation_ls,16,65536,0,64,65600,6291520,3.4286063058035716,524288
0,1,B0_raw_shared,128,128,projection,4,32768,2048,64,34880,6260800,3.411865234375,1048576
0,1,B0_raw_shared,128,128,projection,8,65536,2048,64,67648,6293568,3.429722377232143,1048576
0,1,B0_raw_shared,128,128,projection,16,131072,0,64,131136,6357056,3.464320591517857,1048576
0,1,B0_raw_shared,128,128,activation_ls,4,32768,2048,64,34880,6260800,3.411865234375,1048576
0,1,B0_raw_shared,128,128,activation_ls,8,65536,2048,64,67648,6293568,3.429722377232143,1048576
0,1,B0_raw_shared,128,128,activation_ls,16,131072,0,64,131136,6357056,3.464320591517857,1048576
0,1,B0_raw_shared,256,256,projection,4,65536,4096,64,69696,6295616,3.4308384486607144,2097152
0,1,B0_raw_shared,256,256,projection,8,131072,4096,64,135232,6361152,3.466552734375,2097152
0,1,B0_raw_shared,256,256,projection,16,262144,0,64,262208,6488128,3.5357491629464284,2097152
0,1,B0_raw_shared,256,256,activation_ls,4,65536,4096,64,69696,6295616,3.4308384486607144,2097152
0,1,B0_raw_shared,256,256,activation_ls,8,131072,4096,64,135232,6361152,3.466552734375,2097152
0,1,B0_raw_shared,256,256,activation_ls,16,262144,0,64,262208,6488128,3.5357491629464284,2097152
0,1,B0_raw_shared,512,512,projection,4,131072,8192,64,139328,6365248,3.468784877232143,4194304
0,1,B0_raw_shared,512,512,projection,8,262144,8192,64,270400,6496320,3.5402134486607144,4194304
0,1,B0_raw_shared,512,512,projection,16,524288,0,64,524352,6750272,3.6786063058035716,4194304
0,1,B0_raw_shared,512,512,activation_ls,4,131072,8192,64,139328,6365248,3.468784877232143,4194304
0,1,B0_raw_shared,512,512,activation_ls,8,262144,8192,64,270400,6496320,3.5402134486607144,4194304
0,1,B0_raw_shared,512,512,activation_ls,16,524288,0,64,524352,6750272,3.6786063058035716,4194304
0,1,B1_action_shared,32,32,projection,4,8192,512,64,8768,6234688,3.3976353236607144,262144
0,1,B1_action_shared,32,32,projection,8,16384,512,64,16960,6242880,3.402099609375,262144
0,1,B1_action_shared,32,32,projection,16,32768,0,64,32832,6258752,3.4107491629464284,262144
0,1,B1_action_shared,32,32,activation_ls,4,8192,512,64,8768,6234688,3.3976353236607144,262144
0,1,B1_action_shared,32,32,activation_ls,8,16384,512,64,16960,6242880,3.402099609375,262144
0,1,B1_action_shared,32,32,activation_ls,16,32768,0,64,32832,6258752,3.4107491629464284,262144
0,1,B1_action_shared,64,64,projection,4,16384,1024,64,17472,6243392,3.402378627232143,524288
0,1,B1_action_shared,64,64,projection,8,32768,1024,64,33856,6259776,3.4113071986607144,524288
0,1,B1_action_shared,64,64,projection,16,65536,0,64,65600,6291520,3.4286063058035716,524288
0,1,B1_action_shared,64,64,activation_ls,4,16384,1024,64,17472,6243392,3.402378627232143,524288
0,1,B1_action_shared,64,64,activation_ls,8,32768,1024,64,33856,6259776,3.4113071986607144,524288
0,1,B1_action_shared,64,64,activation_ls,16,65536,0,64,65600,6291520,3.4286063058035716,524288
0,1,B1_action_shared,128,128,projection,4,32768,2048,64,34880,6260800,3.411865234375,1048576
0,1,B1_action_shared,128,128,projection,8,65536,2048,64,67648,6293568,3.429722377232143,1048576
0,1,B1_action_shared,128,128,projection,16,131072,0,64,131136,6357056,3.464320591517857,1048576
0,1,B1_action_shared,128,128,activation_ls,4,32768,2048,64,34880,6260800,3.411865234375,1048576
0,1,B1_action_shared,128,128,activation_ls,8,65536,2048,64,67648,6293568,3.429722377232143,1048576
0,1,B1_action_shared,128,128,activation_ls,16,131072,0,64,131136,6357056,3.464320591517857,1048576
0,1,B1_action_shared,256,256,projection,4,65536,4096,64,69696,6295616,3.4308384486607144,2097152
0,1,B1_action_shared,256,256,projection,8,131072,4096,64,135232,6361152,3.466552734375,2097152
0,1,B1_action_shared,256,256,projection,16,262144,0,64,262208,6488128,3.5357491629464284,2097152
0,1,B1_action_shared,256,256,activation_ls,4,65536,4096,64,69696,6295616,3.4308384486607144,2097152
0,1,B1_action_shared,256,256,activation_ls,8,131072,4096,64,135232,6361152,3.466552734375,2097152
0,1,B1_action_shared,256,256,activation_ls,16,262144,0,64,262208,6488128,3.5357491629464284,2097152
0,1,B1_action_shared,512,391,projection,4,100096,6256,64,106416,6332336,3.4508492606026784,3203072
0,1,B1_action_shared,512,391,projection,8,200192,6256,64,206512,6432432,3.505397251674107,3203072
0,1,B1_action_shared,512,391,projection,16,400384,0,64,400448,6626368,3.611083984375,3203072
0,1,B1_action_shared,512,391,activation_ls,4,100096,6256,64,106416,6332336,3.4508492606026784,3203072
0,1,B1_action_shared,512,391,activation_ls,8,200192,6256,64,206512,6432432,3.505397251674107,3203072
0,1,B1_action_shared,512,391,activation_ls,16,400384,0,64,400448,6626368,3.611083984375,3203072
0,1,B2_proxy_shared,32,32,projection,4,8192,512,64,8768,6234688,3.3976353236607144,262144
0,1,B2_proxy_shared,32,32,projection,8,16384,512,64,16960,6242880,3.402099609375,262144
0,1,B2_proxy_shared,32,32,projection,16,32768,0,64,32832,6258752,3.4107491629464284,262144
0,1,B2_proxy_shared,32,32,activation_ls,4,8192,512,64,8768,6234688,3.3976353236607144,262144
0,1,B2_proxy_shared,32,32,activation_ls,8,16384,512,64,16960,6242880,3.402099609375,262144
0,1,B2_proxy_shared,32,32,activation_ls,16,32768,0,64,32832,6258752,3.4107491629464284,262144
0,1,B2_proxy_shared,64,64,projection,4,16384,1024,64,17472,6243392,3.402378627232143,524288
0,1,B2_proxy_shared,64,64,projection,8,32768,1024,64,33856,6259776,3.4113071986607144,524288
0,1,B2_proxy_shared,64,64,projection,16,65536,0,64,65600,6291520,3.4286063058035716,524288
0,1,B2_proxy_shared,64,64,activation_ls,4,16384,1024,64,17472,6243392,3.402378627232143,524288
0,1,B2_proxy_shared,64,64,activation_ls,8,32768,1024,64,33856,6259776,3.4113071986607144,524288
0,1,B2_proxy_shared,64,64,activation_ls,16,65536,0,64,65600,6291520,3.4286063058035716,524288
0,1,B2_proxy_shared,128,128,projection,4,32768,2048,64,34880,6260800,3.411865234375,1048576
0,1,B2_proxy_shared,128,128,projection,8,65536,2048,64,67648,6293568,3.429722377232143,1048576
0,1,B2_proxy_shared,128,128,projection,16,131072,0,64,131136,6357056,3.464320591517857,1048576
0,1,B2_proxy_shared,128,128,activation_ls,4,32768,2048,64,34880,6260800,3.411865234375,1048576
0,1,B2_proxy_shared,128,128,activation_ls,8,65536,2048,64,67648,6293568,3.429722377232143,1048576
0,1,B2_proxy_shared,128,128,activation_ls,16,131072,0,64,131136,6357056,3.464320591517857,1048576
0,1,B2_proxy_shared,256,256,projection,4,65536,4096,64,69696,6295616,3.4308384486607144,2097152
0,1,B2_proxy_shared,256,256,projection,8,131072,4096,64,135232,6361152,3.466552734375,2097152
0,1,B2_proxy_shared,256,256,projection,16,262144,0,64,262208,6488128,3.5357491629464284,2097152
0,1,B2_proxy_shared,256,256,activation_ls,4,65536,4096,64,69696,6295616,3.4308384486607144,2097152
0,1,B2_proxy_shared,256,256,activation_ls,8,131072,4096,64,135232,6361152,3.466552734375,2097152
0,1,B2_proxy_shared,256,256,activation_ls,16,262144,0,64,262208,6488128,3.5357491629464284,2097152
0,1,B2_proxy_shared,512,391,projection,4,100096,6256,64,106416,6332336,3.4508492606026784,3203072
0,1,B2_proxy_shared,512,391,projection,8,200192,6256,64,206512,6432432,3.505397251674107,3203072
0,1,B2_proxy_shared,512,391,projection,16,400384,0,64,400448,6626368,3.611083984375,3203072
0,1,B2_proxy_shared,512,391,activation_ls,4,100096,6256,64,106416,6332336,3.4508492606026784,3203072
0,1,B2_proxy_shared,512,391,activation_ls,8,200192,6256,64,206512,6432432,3.505397251674107,3203072
0,1,B2_proxy_shared,512,391,activation_ls,16,400384,0,64,400448,6626368,3.611083984375,3203072
0,1,B3_action_cluster_4,32,32,projection,4,8192,512,64,8768,6234688,3.3976353236607144,1048576
0,1,B3_action_cluster_4,32,32,projection,8,16384,512,64,16960,6242880,3.402099609375,1048576
0,1,B3_action_cluster_4,32,32,projection,16,32768,0,64,32832,6258752,3.4107491629464284,1048576
0,1,B3_action_cluster_4,32,32,activation_ls,4,8192,512,64,8768,6234688,3.3976353236607144,1048576
0,1,B3_action_cluster_4,32,32,activation_ls,8,16384,512,64,16960,6242880,3.402099609375,1048576
0,1,B3_action_cluster_4,32,32,activation_ls,16,32768,0,64,32832,6258752,3.4107491629464284,1048576
0,1,B3_action_cluster_4,64,64,projection,4,16384,1024,64,17472,6243392,3.402378627232143,2097152
0,1,B3_action_cluster_4,64,64,projection,8,32768,1024,64,33856,6259776,3.4113071986607144,2097152
0,1,B3_action_cluster_4,64,64,projection,16,65536,0,64,65600,6291520,3.4286063058035716,2097152
0,1,B3_action_cluster_4,64,64,activation_ls,4,16384,1024,64,17472,6243392,3.402378627232143,2097152
0,1,B3_action_cluster_4,64,64,activation_ls,8,32768,1024,64,33856,6259776,3.4113071986607144,2097152
0,1,B3_action_cluster_4,64,64,activation_ls,16,65536,0,64,65600,6291520,3.4286063058035716,2097152
0,1,B3_action_cluster_4,128,128,projection,4,32768,2048,64,34880,6260800,3.411865234375,4194304
0,1,B3_action_cluster_4,128,128,projection,8,65536,2048,64,67648,6293568,3.429722377232143,4194304
0,1,B3_action_cluster_4,128,128,projection,16,131072,0,64,131136,6357056,3.464320591517857,4194304
0,1,B3_action_cluster_4,128,128,activation_ls,4,32768,2048,64,34880,6260800,3.411865234375,4194304
0,1,B3_action_cluster_4,128,128,activation_ls,8,65536,2048,64,67648,6293568,3.429722377232143,4194304
0,1,B3_action_cluster_4,128,128,activation_ls,16,131072,0,64,131136,6357056,3.464320591517857,4194304
0,1,B3_action_cluster_4,256,240,projection,4,61440,3840,64,65344,6291264,3.428466796875,7864320
0,1,B3_action_cluster_4,256,240,projection,8,122880,3840,64,126784,6352704,3.461948939732143,7864320
0,1,B3_action_cluster_4,256,240,projection,16,245760,0,64,245824,6471744,3.526820591517857,7864320
0,1,B3_action_cluster_4,256,240,activation_ls,4,61440,3840,64,65344,6291264,3.428466796875,7864320
0,1,B3_action_cluster_4,256,240,activation_ls,8,122880,3840,64,126784,6352704,3.461948939732143,7864320
0,1,B3_action_cluster_4,256,240,activation_ls,16,245760,0,64,245824,6471744,3.526820591517857,7864320
0,1,B3_action_cluster_4,512,240,projection,4,61440,3840,64,65344,6291264,3.428466796875,7864320
0,1,B3_action_cluster_4,512,240,projection,8,122880,3840,64,126784,6352704,3.461948939732143,7864320
0,1,B3_action_cluster_4,512,240,projection,16,245760,0,64,245824,6471744,3.526820591517857,7864320
0,1,B3_action_cluster_4,512,240,activation_ls,4,61440,3840,64,65344,6291264,3.428466796875,7864320
0,1,B3_action_cluster_4,512,240,activation_ls,8,122880,3840,64,126784,6352704,3.461948939732143,7864320
0,1,B3_action_cluster_4,512,240,activation_ls,16,245760,0,64,245824,6471744,3.526820591517857,7864320
0,1,B3_action_cluster_8,32,32,projection,4,8192,512,64,8768,6234688,3.3976353236607144,2097152
0,1,B3_action_cluster_8,32,32,projection,8,16384,512,64,16960,6242880,3.402099609375,2097152
0,1,B3_action_cluster_8,32,32,projection,16,32768,0,64,32832,6258752,3.4107491629464284,2097152
0,1,B3_action_cluster_8,32,32,activation_ls,4,8192,512,64,8768,6234688,3.3976353236607144,2097152
0,1,B3_action_cluster_8,32,32,activation_ls,8,16384,512,64,16960,6242880,3.402099609375,2097152
0,1,B3_action_cluster_8,32,32,activation_ls,16,32768,0,64,32832,6258752,3.4107491629464284,2097152
0,1,B3_action_cluster_8,64,64,projection,4,16384,1024,64,17472,6243392,3.402378627232143,4194304
0,1,B3_action_cluster_8,64,64,projection,8,32768,1024,64,33856,6259776,3.4113071986607144,4194304
0,1,B3_action_cluster_8,64,64,projection,16,65536,0,64,65600,6291520,3.4286063058035716,4194304
0,1,B3_action_cluster_8,64,64,activation_ls,4,16384,1024,64,17472,6243392,3.402378627232143,4194304
0,1,B3_action_cluster_8,64,64,activation_ls,8,32768,1024,64,33856,6259776,3.4113071986607144,4194304
0,1,B3_action_cluster_8,64,64,activation_ls,16,65536,0,64,65600,6291520,3.4286063058035716,4194304
0,1,B3_action_cluster_8,128,92,projection,4,23552,1472,64,25088,6251008,3.406529017857143,6029312
0,1,B3_action_cluster_8,128,92,projection,8,47104,1472,64,48640,6274560,3.4193638392857144,6029312
0,1,B3_action_cluster_8,128,92,projection,16,94208,0,64,94272,6320192,3.4442313058035716,6029312
0,1,B3_action_cluster_8,128,92,activation_ls,4,23552,1472,64,25088,6251008,3.406529017857143,6029312
0,1,B3_action_cluster_8,128,92,activation_ls,8,47104,1472,64,48640,6274560,3.4193638392857144,6029312
0,1,B3_action_cluster_8,128,92,activation_ls,16,94208,0,64,94272,6320192,3.4442313058035716,6029312
0,1,B3_action_cluster_8,256,92,projection,4,23552,1472,64,25088,6251008,3.406529017857143,6029312
