layer,projection,quantizer,page_size,logical_bytes,physical_bytes,amplification,stage_effective_physical_bpw
0,gate,affine_mse_g64_fp16,512,311296,311296,1.0,2.375
0,gate,affine_mse_g64_fp16,1024,311296,311296,1.0,2.375
0,gate,affine_mse_g64_fp16,2048,311296,311296,1.0,2.375
0,gate,affine_mse_g64_fp16,4096,311296,311296,1.0,2.375
0,gate,affine_mse_g64_fp16,512,311296,311296,1.0,2.375
0,gate,affine_mse_g64_fp16,1024,311296,311296,1.0,2.375
0,gate,affine_mse_g64_fp16,2048,311296,311296,1.0,2.375
0,gate,affine_mse_g64_fp16,4096,311296,311296,1.0,2.375
0,gate,affine_mse_g64_fp16,512,311296,311296,1.0,2.375
0,gate,affine_mse_g64_fp16,1024,311296,311296,1.0,2.375
0,gate,affine_mse_g64_fp16,2048,311296,311296,1.0,2.375
0,gate,affine_mse_g64_fp16,4096,311296,311296,1.0,2.375
0,up,midrise_mse_g64_fp16,512,294912,294912,1.0,2.25
0,up,midrise_mse_g64_fp16,1024,294912,294912,1.0,2.25
0,up,midrise_mse_g64_fp16,2048,294912,294912,1.0,2.25
0,up,midrise_mse_g64_fp16,4096,294912,294912,1.0,2.25
0,up,affine_mse_g64_fp16,512,311296,311296,1.0,2.375
0,up,affine_mse_g64_fp16,1024,311296,311296,1.0,2.375
0,up,affine_mse_g64_fp16,2048,311296,311296,1.0,2.375
0,up,affine_mse_g64_fp16,4096,311296,311296,1.0,2.375
0,up,affine_mse_g64_fp16,512,311296,311296,1.0,2.375
0,up,affine_mse_g64_fp16,1024,311296,311296,1.0,2.375
0,up,affine_mse_g64_fp16,2048,311296,311296,1.0,2.375
0,up,affine_mse_g64_fp16,4096,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,512,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,1024,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,2048,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,4096,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,512,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,1024,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,2048,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,4096,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,512,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,1024,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,2048,311296,311296,1.0,2.375
0,down,affine_mse_g64_fp16,4096,311296,311296,1.0,2.375
4,gate,affine_mse_g64_fp16,512,311296,311296,1.0,2.375
4,gate,affine_mse_g64_fp16,1024,311296,311296,1.0,2.375
4,gate,affine_mse_g64_fp16,2048,311296,311296,1.0,2.375
4,gate,affine_mse_g64_fp16,4096,311296,311296,1.0,2.375
4,gate,affine_mse_g64_fp16,512,311296,311296,1.0,2.375
