method,tuple,layer,invocations,p10,median,p90
independent_direct_generalized_native,"(0,0,1)",0,41,0.2623134255409241,0.419647216796875,0.639799177646637
independent_direct_generalized_native,"(0,0,1)",4,34,0.10014742612838745,0.31609469652175903,0.40815520882606504
independent_direct_generalized_native,"(0,0,1)",20,24,-0.050942897796630845,0.2614821791648865,0.40981674790382383
independent_direct_generalized_native,"(0,0,1)",39,34,0.08797925114631654,0.3255165219306946,0.5004441499710083
independent_direct_generalized_native,"(1,1,0)",0,41,0.18099552392959595,0.38089001178741455,0.5593416690826416
independent_direct_generalized_native,"(1,1,0)",4,34,0.3486728847026825,0.5041927993297577,0.6547292709350586
independent_direct_generalized_native,"(1,1,0)",20,24,0.3567960321903229,0.5508921444416046,0.7564974248409271
independent_direct_generalized_native,"(1,1,0)",39,34,0.11531378030776977,0.3650888204574585,0.6341914772987366
independent_direct_generalized_native,"(1,1,1)",0,41,0.6866117715835571,0.813007652759552,0.9030548334121704
independent_direct_generalized_native,"(1,1,1)",4,34,0.7470106840133667,0.8454777300357819,0.8971017360687256
independent_direct_generalized_native,"(1,1,1)",20,24,0.7366855263710022,0.8426775932312012,0.9246033430099487
independent_direct_generalized_native,"(1,1,1)",39,34,0.665803599357605,0.8005456626415253,0.8949354529380799
independent_direct_generalized_native,"(1,1,2)",0,41,0.7950770854949951,0.9230400323867798,0.964731752872467
independent_direct_generalized_native,"(1,1,2)",4,34,0.8382582843303681,0.9079528748989105,0.9462100565433502
independent_direct_generalized_native,"(1,1,2)",20,24,0.8351909697055817,0.9081640839576721,0.9448193848133087
independent_direct_generalized_native,"(1,1,2)",39,34,0.8381291925907135,0.9021393060684204,0.9340644598007202
independent_direct_generalized_native,"(2,2,1)",0,41,0.8143851161003113,0.8868889808654785,0.9200645685195923
independent_direct_generalized_native,"(2,2,1)",4,34,0.8887764275074005,0.9261657893657684,0.9555491089820862
independent_direct_generalized_native,"(2,2,1)",20,24,0.8746409356594086,0.9279209673404694,0.9552756488323212
independent_direct_generalized_native,"(2,2,1)",39,34,0.7798640489578247,0.8757747709751129,0.9341717004776001
independent_direct_generalized_native,"(2,2,2)",0,41,0.9660273194313049,0.9780653119087219,0.9907329082489014
independent_direct_generalized_native,"(2,2,2)",4,34,0.9702127516269684,0.9820826649665833,0.990114438533783
independent_direct_generalized_native,"(2,2,2)",20,24,0.9634218573570251,0.9790417551994324,0.9883558452129364
independent_direct_generalized_native,"(2,2,2)",39,34,0.9384111881256103,0.9696988761425018,0.9832590758800507
nested_int16_prefix_generalized_native,"(0,0,1)",0,41,-1.0430381298065186,0.09774339199066162,0.47085511684417725
nested_int16_prefix_generalized_native,"(0,0,1)",4,34,-1.0497991561889648,-0.10147535800933838,0.29335530400276183
nested_int16_prefix_generalized_native,"(0,0,1)",20,24,-0.8269612312316894,-0.002226918935775757,0.2900740444660186
nested_int16_prefix_generalized_native,"(0,0,1)",39,34,-3.5387845039367676,-1.4452900886535645,0.06878761649131768
nested_int16_prefix_generalized_native,"(1,1,0)",0,41,-2.1400914192199707,0.1366017460823059,0.5237576961517334
nested_int16_prefix_generalized_native,"(1,1,0)",4,34,-7.491841268539428,-1.483237624168396,-0.04004813432693495
nested_int16_prefix_generalized_native,"(1,1,0)",20,24,-4.135994291305542,-1.159062147140503,0.12322926521301268
nested_int16_prefix_generalized_native,"(1,1,0)",39,34,-1.1239803075790404,0.02810114622116089,0.4276118278503418
nested_int16_prefix_generalized_native,"(1,1,1)",0,41,-17.217031478881836,-1.0605192184448242,0.4080134630203247
nested_int16_prefix_generalized_native,"(1,1,1)",4,34,-104.96557693481445,-6.7550740242004395,-1.215484738349915
nested_int16_prefix_generalized_native,"(1,1,1)",20,24,-88.56751022338867,-21.3999605178833,-2.1271787643432623
nested_int16_prefix_generalized_native,"(1,1,1)",39,34,-101.2887466430664,-4.602530241012573,-0.3288746356964112
nested_int16_prefix_generalized_native,"(1,1,2)",0,41,-4.466254711151123,0.3424261808395386,0.8124948143959045
nested_int16_prefix_generalized_native,"(1,1,2)",4,34,-11.986311435699461,-2.4415690898895264,0.16906619071960433
nested_int16_prefix_generalized_native,"(1,1,2)",20,24,-10.697939968109129,-2.493698835372925,0.357473850250244
nested_int16_prefix_generalized_native,"(1,1,2)",39,34,-5.51618194580078,0.33248499035835266,0.6520450055599213
nested_int16_prefix_generalized_native,"(2,2,1)",0,41,-2.8702409267425537,0.18911582231521606,0.5330226421356201
nested_int16_prefix_generalized_native,"(2,2,1)",4,34,-3.088539409637451,-0.19293713569641113,0.596039879322052
nested_int16_prefix_generalized_native,"(2,2,1)",20,24,-4.159465408325195,-1.0552095174789429,0.538616210222244
nested_int16_prefix_generalized_native,"(2,2,1)",39,34,-7.30256290435791,-0.8515105247497559,0.23433724641799916
nested_int16_prefix_generalized_native,"(2,2,2)",0,41,0.6811056137084961,0.903911828994751,0.9602940082550049
nested_int16_prefix_generalized_native,"(2,2,2)",4,34,0.6018107950687408,0.7986004948616028,0.9430722713470459
nested_int16_prefix_generalized_native,"(2,2,2)",20,24,0.5301561832427979,0.8134040236473083,0.9172732591629028
nested_int16_prefix_generalized_native,"(2,2,2)",39,34,0.4067724704742432,0.8149336576461792,0.9514116168022155
rrq_generalized_heterogeneous,"(0,0,1)",0,41,0.32286012172698975,0.40668952465057373,0.6799662113189697
rrq_generalized_heterogeneous,"(0,0,1)",4,34,0.1515283763408661,0.3307602107524872,0.4546070694923401
rrq_generalized_heterogeneous,"(0,0,1)",20,24,-0.08541437387466427,0.28942543268203735,0.3998248696327209
rrq_generalized_heterogeneous,"(0,0,1)",39,34,0.16995638012886047,0.41219833493232727,0.5443255662918091
rrq_generalized_heterogeneous,"(1,1,0)",0,41,0.15515631437301636,0.44922566413879395,0.5553328990936279
rrq_generalized_heterogeneous,"(1,1,0)",4,34,0.26698530912399293,0.515606552362442,0.6352953433990478
rrq_generalized_heterogeneous,"(1,1,0)",20,24,0.3300279378890991,0.5319138467311859,0.7015145897865296
rrq_generalized_heterogeneous,"(1,1,0)",39,34,0.11447306871414185,0.414286345243454,0.6118669807910919
rrq_generalized_heterogeneous,"(1,1,1)",0,41,0.7387614250183105,0.8420364856719971,0.9220569729804993
