method,budget_bpw,paired_invocations,median_difference,mean_difference,bootstrap_ci_low,bootstrap_ci_high
independent_direct_generalized_native,0.75,39,-0.3706059647494372,-0.33085082488719925,-0.3792022738935661,-0.23270675896496695
independent_direct_generalized_native,1.0,39,-0.38370348788229425,-0.3547130909201044,-0.4048286465880917,-0.28547075643062003
independent_direct_generalized_native,1.5,39,-0.1500931739810275,-0.15136166878471163,-0.18379348259559403,-0.11997326639943062
independent_direct_generalized_native,2.0,39,-0.16266784260043565,-0.16478672800744795,-0.19768786959213464,-0.13830968586913928
independent_direct_generalized_native,3.0,39,0.07194249628760363,0.07312728809355062,0.041655732604582774,0.11492156945867826
independent_direct_generalized_native,4.0,39,0.1014168809646081,0.11061507465984179,0.08672915695328753,0.13982167021226033
nested_int16_prefix_generalized_native,0.75,39,-0.5879980347880228,-0.5833694436053708,-0.6114495657707684,-0.5274841627035456
nested_int16_prefix_generalized_native,1.0,39,-0.6170700269792819,-0.6072317096382761,-0.6330103416301147,-0.5557195240420302
nested_int16_prefix_generalized_native,1.5,39,-0.35478409668671196,-0.3472353724967839,-0.3852007720129482,-0.2851356314149509
nested_int16_prefix_generalized_native,2.0,39,-0.3634756942488715,-0.3606604317195201,-0.39804825759094664,-0.30141777408598047
nested_int16_prefix_generalized_native,3.0,39,-0.14506965938620686,-0.14660178697147527,-0.1694461500114493,-0.12198914685766016
nested_int16_prefix_generalized_native,4.0,39,-0.12392569169198298,-0.1336480715083046,-0.16574489526916658,-0.10665494761947092
rrq_generalized_heterogeneous,0.75,39,-0.5347477074169402,-0.5237880660379818,-0.6093247252323523,-0.49889471646287253
rrq_generalized_heterogeneous,1.0,39,-0.35454948521582086,-0.348774726010859,-0.3970249122226951,-0.2795607200531398
rrq_generalized_heterogeneous,1.5,39,-0.3775017159057039,-0.3773023792437118,-0.43139216767052607,-0.32572434550776297
rrq_generalized_heterogeneous,2.0,39,-0.1419562418199486,-0.1518377763473895,-0.18719972569723575,-0.11841324176702583
rrq_generalized_heterogeneous,3.0,39,0.029221947073311716,0.006311202669371924,0.0084970029437762,0.0542795089933128
rrq_generalized_heterogeneous,4.0,39,0.10864215600428095,0.11208518348679695,0.09811301662187444,0.1264449741881457
rrq_raw_heterogeneous,0.75,39,-0.5231720678726552,-0.5143597972141135,-0.609588506055723,-0.4329915834361132
rrq_raw_heterogeneous,1.0,39,-0.3476723724147961,-0.3456450695126102,-0.36638390576076124,-0.2795607200531398
rrq_raw_heterogeneous,1.5,39,-0.3775017159057039,-0.37417272274546304,-0.3922207005437255,-0.32572434550776297
rrq_raw_heterogeneous,2.0,39,-0.12643405644409045,-0.14136080812010085,-0.15088689935682398,-0.10601183014473481
rrq_raw_heterogeneous,3.0,39,0.05558900134340106,0.034890384254928346,0.012073494121386363,0.08302515424355839
rrq_raw_heterogeneous,4.0,39,0.11106021573054048,0.12015726171479378,0.09729182139242865,0.14407434988319467
rrq_raw_heterogeneous_bf16_scales,0.75,39,-0.522769021264684,-0.514353550953006,-0.6098917148836954,-0.4332033587390002
rrq_raw_heterogeneous_bf16_scales,1.0,39,-0.3479031615993664,-0.3456344033378439,-0.3666351691408119,-0.2793764820961391
rrq_raw_heterogeneous_bf16_scales,1.5,39,-0.37778382468942584,-0.3741620565706967,-0.39259817675908804,-0.32543955451502615
rrq_raw_heterogeneous_bf16_scales,2.0,39,-0.12622311560623034,-0.14142635488946306,-0.15108097208021265,-0.10599576669296784
rrq_raw_heterogeneous_bf16_scales,3.0,39,0.05598143832460223,0.034812085148232634,0.011441148444964244,0.08310758746728275
rrq_raw_heterogeneous_bf16_scales,4.0,39,0.11085946728693696,0.11976752986747087,0.09756773833940036,0.1440120112150448
rrq_raw_heterogeneous_fp32_scales_upper,0.75,39,-0.7855404095444417,-0.7641771869224124,-0.8155204707932349,-0.7139645785426604
rrq_raw_heterogeneous_fp32_scales_upper,1.0,39,-0.3477711373111889,-0.3456452498548688,-0.3664265826864204,-0.2795403948692714
rrq_raw_heterogeneous_fp32_scales_upper,1.5,39,-0.37744473386529864,-0.37417290308772155,-0.39229079560598135,-0.32575760489954764
rrq_raw_heterogeneous_fp32_scales_upper,2.0,39,-0.1264097377490221,-0.14136884404887595,-0.15088064086912256,-0.10600566106400056
rrq_raw_heterogeneous_fp32_scales_upper,3.0,39,0.05563430087343035,0.03483777627845505,0.012012280151202037,0.08303522742852543
rrq_raw_heterogeneous_fp32_scales_upper,4.0,39,0.09092614762480433,0.09293245507592941,0.07978926895279925,0.12805512476265024
rrq_raw_heterogeneous_weight_only_down,0.75,39,-0.5231720678726552,-0.5143597972141135,-0.609588506055723,-0.4329915834361132
rrq_raw_heterogeneous_weight_only_down,1.0,39,-0.36130620171322836,-0.35285317841458774,-0.37030088918951315,-0.2773294284518326
rrq_raw_heterogeneous_weight_only_down,1.5,39,-0.39044872256684227,-0.3813808316474406,-0.40059961390676624,-0.3345527344532967
rrq_raw_heterogeneous_weight_only_down,2.0,39,-0.12743098933477848,-0.14310795627932357,-0.15047788031148418,-0.09282919969472969
rrq_raw_heterogeneous_weight_only_down,3.0,39,0.04618778223776043,0.029285901640851292,0.024239886069619642,0.06913369573220585
rrq_raw_heterogeneous_weight_only_down,4.0,39,0.10731135517875146,0.12182758101522524,0.09633788918035269,0.15706713630418645
rrq_raw_homogeneous,0.75,39,-0.7855404095444417,-0.7641771869224124,-0.8155204707932349,-0.7139645785426604
rrq_raw_homogeneous,1.0,39,-0.3772683430143462,-0.3669742676407481,-0.4049755201917883,-0.330882082252742
rrq_raw_homogeneous,1.5,39,-0.4036505206706007,-0.39550192087360087,-0.42411835896444006,-0.35289831509594893
rrq_raw_homogeneous,2.0,39,-0.15885159223154321,-0.16481990486972448,-0.21856228229153507,-0.11813687008763063
rrq_raw_homogeneous,3.0,39,-0.047558656140959554,-0.038817705243444835,-0.06014923517907644,0.016861376241758652
rrq_raw_homogeneous,4.0,39,0.08189379680094233,0.09558991440832218,0.07184279466142562,0.13028261034895894
