method,budget_bpw,layer,expert_id,expert_stratum,invocations,mean,median
independent_direct_generalized_native,0.75,0,1,median,4,0.4498835802078247,0.4347728192806244
independent_direct_generalized_native,0.75,0,8,cold,1,0.6079557538032532,0.6079557538032532
independent_direct_generalized_native,0.75,0,17,cold,4,0.4038463979959488,0.407039612531662
independent_direct_generalized_native,0.75,0,22,median,4,0.3884085863828659,0.33677244186401367
independent_direct_generalized_native,0.75,0,114,median,1,0.6260761022567749,0.6260761022567749
independent_direct_generalized_native,0.75,0,158,median,4,0.3976861834526062,0.40781325101852417
independent_direct_generalized_native,0.75,0,164,cold,3,0.5227403044700623,0.5220059752464294
independent_direct_generalized_native,0.75,0,181,hot,4,0.3701915442943573,0.3532579839229584
independent_direct_generalized_native,0.75,0,206,hot,4,0.46965543925762177,0.46712061762809753
independent_direct_generalized_native,0.75,0,238,hot,4,0.4452604502439499,0.39836516976356506
independent_direct_generalized_native,0.75,0,248,cold,4,0.36241790652275085,0.33433255553245544
independent_direct_generalized_native,0.75,0,252,hot,4,0.76689612865448,0.7724316716194153
independent_direct_generalized_native,0.75,4,28,hot,4,0.42175067961215973,0.4198301136493683
independent_direct_generalized_native,0.75,4,36,median,4,0.3308018445968628,0.333856463432312
independent_direct_generalized_native,0.75,4,82,median,4,0.4734503775835037,0.4882897436618805
independent_direct_generalized_native,0.75,4,111,cold,1,0.43448203802108765,0.43448203802108765
independent_direct_generalized_native,0.75,4,129,hot,4,0.4013364911079407,0.4176068902015686
independent_direct_generalized_native,0.75,4,134,hot,4,0.37866920232772827,0.3732755780220032
independent_direct_generalized_native,0.75,4,143,cold,1,0.342579185962677,0.342579185962677
independent_direct_generalized_native,0.75,4,154,hot,4,0.38478873670101166,0.38699275255203247
independent_direct_generalized_native,0.75,4,190,median,4,0.4647136330604553,0.42911821603775024
independent_direct_generalized_native,0.75,4,193,median,4,0.3371580243110657,0.345893919467926
independent_direct_generalized_native,0.75,20,30,cold,1,0.31661009788513184,0.31661009788513184
independent_direct_generalized_native,0.75,20,44,median,3,0.3658607006072998,0.346785306930542
independent_direct_generalized_native,0.75,20,45,median,1,0.30669480562210083,0.30669480562210083
independent_direct_generalized_native,0.75,20,72,hot,4,0.4317396581172943,0.4257730543613434
independent_direct_generalized_native,0.75,20,142,median,3,0.5310643911361694,0.537267804145813
independent_direct_generalized_native,0.75,20,148,hot,4,0.4420427680015564,0.44860032200813293
independent_direct_generalized_native,0.75,20,232,hot,4,0.48150308430194855,0.5052286684513092
independent_direct_generalized_native,0.75,20,240,hot,4,0.42629869282245636,0.41297709941864014
independent_direct_generalized_native,0.75,39,22,hot,4,0.3596319407224655,0.37657082080841064
independent_direct_generalized_native,0.75,39,37,median,4,0.49298784136772156,0.49878785014152527
independent_direct_generalized_native,0.75,39,43,cold,2,0.3094092905521393,0.3094092905521393
independent_direct_generalized_native,0.75,39,55,median,4,0.371575266122818,0.3717676103115082
independent_direct_generalized_native,0.75,39,70,hot,4,0.3389413356781006,0.34363478422164917
independent_direct_generalized_native,0.75,39,147,median,4,0.4533700495958328,0.4557788074016571
independent_direct_generalized_native,0.75,39,189,hot,4,0.38307352364063263,0.37055158615112305
independent_direct_generalized_native,0.75,39,193,median,4,0.46662437915802,0.45895496010780334
independent_direct_generalized_native,0.75,39,235,hot,4,0.3588815778493881,0.39595112204551697
independent_direct_generalized_native,1.0,0,1,median,4,0.4498835802078247,0.4347728192806244
independent_direct_generalized_native,1.0,0,8,cold,1,0.6079557538032532,0.6079557538032532
independent_direct_generalized_native,1.0,0,17,cold,4,0.4038463979959488,0.407039612531662
independent_direct_generalized_native,1.0,0,22,median,4,0.3884085863828659,0.33677244186401367
independent_direct_generalized_native,1.0,0,114,median,1,0.6260761022567749,0.6260761022567749
independent_direct_generalized_native,1.0,0,158,median,4,0.3976861834526062,0.40781325101852417
independent_direct_generalized_native,1.0,0,164,cold,3,0.5227403044700623,0.5220059752464294
independent_direct_generalized_native,1.0,0,181,hot,4,0.3701915442943573,0.3532579839229584
independent_direct_generalized_native,1.0,0,206,hot,4,0.46965543925762177,0.46712061762809753
independent_direct_generalized_native,1.0,0,238,hot,4,0.4452604502439499,0.39836516976356506
independent_direct_generalized_native,1.0,0,248,cold,4,0.36241790652275085,0.33433255553245544
independent_direct_generalized_native,1.0,0,252,hot,4,0.76689612865448,0.7724316716194153
independent_direct_generalized_native,1.0,4,28,hot,4,0.42175067961215973,0.4198301136493683
independent_direct_generalized_native,1.0,4,36,median,4,0.3308018445968628,0.333856463432312
independent_direct_generalized_native,1.0,4,82,median,4,0.4734503775835037,0.4882897436618805
independent_direct_generalized_native,1.0,4,111,cold,1,0.43448203802108765,0.43448203802108765
independent_direct_generalized_native,1.0,4,129,hot,4,0.4013364911079407,0.4176068902015686
independent_direct_generalized_native,1.0,4,134,hot,4,0.37866920232772827,0.3732755780220032
independent_direct_generalized_native,1.0,4,143,cold,1,0.342579185962677,0.342579185962677
independent_direct_generalized_native,1.0,4,154,hot,4,0.38478873670101166,0.38699275255203247
independent_direct_generalized_native,1.0,4,190,median,4,0.4647136330604553,0.42911821603775024
independent_direct_generalized_native,1.0,4,193,median,4,0.3371580243110657,0.345893919467926
independent_direct_generalized_native,1.0,20,30,cold,1,0.31661009788513184,0.31661009788513184
independent_direct_generalized_native,1.0,20,44,median,3,0.3658607006072998,0.346785306930542
independent_direct_generalized_native,1.0,20,45,median,1,0.30669480562210083,0.30669480562210083
independent_direct_generalized_native,1.0,20,72,hot,4,0.4317396581172943,0.4257730543613434
independent_direct_generalized_native,1.0,20,142,median,3,0.5310643911361694,0.537267804145813
independent_direct_generalized_native,1.0,20,148,hot,4,0.4420427680015564,0.44860032200813293
independent_direct_generalized_native,1.0,20,232,hot,4,0.48150308430194855,0.5052286684513092
independent_direct_generalized_native,1.0,20,240,hot,4,0.42629869282245636,0.41297709941864014
independent_direct_generalized_native,1.0,39,22,hot,4,0.3596319407224655,0.37657082080841064
independent_direct_generalized_native,1.0,39,37,median,4,0.49298784136772156,0.49878785014152527
independent_direct_generalized_native,1.0,39,43,cold,2,0.3094092905521393,0.3094092905521393
independent_direct_generalized_native,1.0,39,55,median,4,0.371575266122818,0.3717676103115082
independent_direct_generalized_native,1.0,39,70,hot,4,0.3389413356781006,0.34363478422164917
independent_direct_generalized_native,1.0,39,147,median,4,0.4533700495958328,0.4557788074016571
independent_direct_generalized_native,1.0,39,189,hot,4,0.38307352364063263,0.37055158615112305
independent_direct_generalized_native,1.0,39,193,median,4,0.46662437915802,0.45895496010780334
