method,budget_bpw,layer,invocations,mean,p10,median,p90
independent_direct_generalized_native,0.75,0,41,0.463883844817557,0.31001847982406616,0.42915523052215576,0.639799177646637
independent_direct_generalized_native,0.75,4,34,0.39846285827019634,0.3152494430541992,0.39160558581352234,0.4876101791858673
independent_direct_generalized_native,0.75,20,24,0.43501737465461093,0.3096693933010101,0.4114309251308441,0.5646181702613831
independent_direct_generalized_native,0.75,39,34,0.39762241875424104,0.22592852711677552,0.4146236479282379,0.520041024684906
independent_direct_generalized_native,1.0,0,41,0.463883844817557,0.31001847982406616,0.42915523052215576,0.639799177646637
independent_direct_generalized_native,1.0,4,34,0.39846285827019634,0.3152494430541992,0.39160558581352234,0.4876101791858673
independent_direct_generalized_native,1.0,20,24,0.43501737465461093,0.3096693933010101,0.4114309251308441,0.5646181702613831
independent_direct_generalized_native,1.0,39,34,0.39762241875424104,0.22592852711677552,0.4146236479282379,0.520041024684906
independent_direct_generalized_native,1.25,0,41,0.463883844817557,0.31001847982406616,0.42915523052215576,0.639799177646637
independent_direct_generalized_native,1.25,4,34,0.39846285827019634,0.3152494430541992,0.39160558581352234,0.4876101791858673
independent_direct_generalized_native,1.25,20,24,0.43501737465461093,0.3096693933010101,0.4114309251308441,0.5646181702613831
independent_direct_generalized_native,1.25,39,34,0.39762241875424104,0.22592852711677552,0.4146236479282379,0.520041024684906
independent_direct_generalized_native,1.5,0,41,0.7038485495055594,0.5676057934761047,0.7047467231750488,0.8472147583961487
independent_direct_generalized_native,1.5,4,34,0.6553720884463367,0.5496418952941895,0.66192826628685,0.741118198633194
independent_direct_generalized_native,1.5,20,24,0.6745068803429604,0.5504450082778931,0.6882681250572205,0.7942389369010925
independent_direct_generalized_native,1.5,39,34,0.6343363418298609,0.5290224552154541,0.6328394412994385,0.7515816032886505
independent_direct_generalized_native,2.0,0,41,0.7038485495055594,0.5676057934761047,0.7047467231750488,0.8472147583961487
independent_direct_generalized_native,2.0,4,34,0.6553720884463367,0.5496418952941895,0.66192826628685,0.741118198633194
independent_direct_generalized_native,2.0,20,24,0.6745068803429604,0.5504450082778931,0.6882681250572205,0.7942389369010925
independent_direct_generalized_native,2.0,39,34,0.6343363418298609,0.5290224552154541,0.6328394412994385,0.7515816032886505
independent_direct_generalized_native,2.25,0,41,0.8316791464642781,0.736245334148407,0.8355413675308228,0.9242472052574158
independent_direct_generalized_native,2.25,4,34,0.8333263835486244,0.7470106840133667,0.8454777300357819,0.8971017360687256
independent_direct_generalized_native,2.25,20,24,0.8441225488980612,0.76540447473526,0.8426775932312012,0.9246033430099487
independent_direct_generalized_native,2.25,39,34,0.812309848911622,0.7325445652008057,0.8192505836486816,0.8949354529380799
independent_direct_generalized_native,3.0,0,41,0.9147824877645911,0.8476632833480835,0.9279847145080566,0.9692831039428711
independent_direct_generalized_native,3.0,4,34,0.9116778794456931,0.8714854419231415,0.9179162979125977,0.9462100565433502
independent_direct_generalized_native,3.0,20,24,0.9131343215703964,0.8590938568115234,0.9204394817352295,0.950887393951416
independent_direct_generalized_native,3.0,39,34,0.9008722357890185,0.8601899445056915,0.9050880074501038,0.9353647947311401
independent_direct_generalized_native,4.0,0,41,0.9538243209443441,0.9196666479110718,0.9610635638237,0.9816832542419434
independent_direct_generalized_native,4.0,4,34,0.9518546164035797,0.9231222689151763,0.9563215672969818,0.9729452192783355
independent_direct_generalized_native,4.0,20,24,0.9476397385199865,0.9186442971229554,0.9527113735675812,0.9730074584484101
independent_direct_generalized_native,4.0,39,34,0.9445303152589237,0.9231351375579834,0.9485176503658295,0.965728121995926
