method,budget_bpw,layer,gate_physical_bpw,up_physical_bpw,down_physical_bpw,physical_bpw,recovery
independent_direct_generalized_native,0.75,0,0.0,0.0,2.0078125,0.6692708333333334,0.42915523052215576
independent_direct_generalized_native,0.75,4,0.0,0.0,0.0,0.6770833333333334,0.39160558581352234
independent_direct_generalized_native,0.75,20,0.0,0.0,0.0,0.6770833333333334,0.4114309251308441
independent_direct_generalized_native,0.75,39,0.0,0.0,2.0078125,0.6692708333333334,0.4146236479282379
independent_direct_generalized_native,1.0,0,0.0,0.0,2.0078125,0.6692708333333334,0.42915523052215576
independent_direct_generalized_native,1.0,4,0.0,0.0,0.0,0.6770833333333334,0.39160558581352234
independent_direct_generalized_native,1.0,20,0.0,0.0,0.0,0.6770833333333334,0.4114309251308441
independent_direct_generalized_native,1.0,39,0.0,0.0,2.0078125,0.6692708333333334,0.4146236479282379
independent_direct_generalized_native,1.25,0,0.0,0.0,2.0078125,0.6692708333333334,0.42915523052215576
independent_direct_generalized_native,1.25,4,0.0,0.0,0.0,0.6770833333333334,0.39160558581352234
independent_direct_generalized_native,1.25,20,0.0,0.0,0.0,0.6770833333333334,0.4114309251308441
independent_direct_generalized_native,1.25,39,0.0,0.0,2.0078125,0.6692708333333334,0.4146236479282379
independent_direct_generalized_native,1.5,0,0.0,2.03125,2.0078125,1.3463541666666667,0.7047467231750488
independent_direct_generalized_native,1.5,4,2.03125,2.03125,2.0078125,1.3463541666666667,0.66192826628685
independent_direct_generalized_native,1.5,20,0.0,2.03125,2.0078125,1.3463541666666667,0.6882681250572205
independent_direct_generalized_native,1.5,39,1.015625,0.0,2.0078125,1.3463541666666667,0.6328394412994385
independent_direct_generalized_native,2.0,0,0.0,2.03125,2.0078125,1.3463541666666667,0.7047467231750488
independent_direct_generalized_native,2.0,4,2.03125,2.03125,2.0078125,1.3463541666666667,0.66192826628685
independent_direct_generalized_native,2.0,20,0.0,2.03125,2.0078125,1.3463541666666667,0.6882681250572205
independent_direct_generalized_native,2.0,39,1.015625,0.0,2.0078125,1.3463541666666667,0.6328394412994385
independent_direct_generalized_native,2.25,0,2.03125,2.03125,2.0078125,2.0234375,0.8355413675308228
independent_direct_generalized_native,2.25,4,2.03125,2.03125,2.0078125,2.0234375,0.8454777300357819
independent_direct_generalized_native,2.25,20,2.03125,2.03125,2.0078125,2.0234375,0.8426775932312012
independent_direct_generalized_native,2.25,39,2.03125,2.03125,2.0078125,2.0234375,0.8192505836486816
independent_direct_generalized_native,3.0,0,2.03125,2.03125,4.0078125,2.6901041666666665,0.9279847145080566
