method,aggregate,normalized_median_auc
independent_direct_generalized_native,all_0_4_20_39,0.7569904717115256
independent_direct_generalized_native,difficult_4_20_39,0.7489065069418687
independent_direct_generalized_native,layer0,0.77140650840906
nested_int16_prefix_generalized_native,all_0_4_20_39,0.5218931459463559
nested_int16_prefix_generalized_native,difficult_4_20_39,0.47658173510661495
nested_int16_prefix_generalized_native,layer0,0.6318678695421952
rrq_generalized_heterogeneous,all_0_4_20_39,0.6789218668754284
rrq_generalized_heterogeneous,difficult_4_20_39,0.6750694822806579
rrq_generalized_heterogeneous,layer0,0.6871287134977487
rrq_raw_heterogeneous,all_0_4_20_39,0.6898895823038541
rrq_raw_heterogeneous,difficult_4_20_39,0.6927522925230173
rrq_raw_heterogeneous,layer0,0.679534891476998
rrq_raw_heterogeneous_bf16_scales,all_0_4_20_39,0.6900053161841172
rrq_raw_heterogeneous_bf16_scales,difficult_4_20_39,0.6926358181696671
rrq_raw_heterogeneous_bf16_scales,layer0,0.6795404163690714
rrq_raw_heterogeneous_fp32_scales_upper,all_0_4_20_39,0.6759666066903335
rrq_raw_heterogeneous_fp32_scales_upper,difficult_4_20_39,0.6775224105669901
rrq_raw_heterogeneous_fp32_scales_upper,layer0,0.6667844721904168
rrq_raw_heterogeneous_weight_only_down,all_0_4_20_39,0.6889752241281363
rrq_raw_heterogeneous_weight_only_down,difficult_4_20_39,0.6934426908309643
rrq_raw_heterogeneous_weight_only_down,layer0,0.6795247816122495
rrq_raw_homogeneous,all_0_4_20_39,0.6520723104476929
rrq_raw_homogeneous,difficult_4_20_39,0.6296519086911128
rrq_raw_homogeneous,layer0,0.7047104170689216
