method,threshold,layer,count,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>
independent_direct_generalized_native,0.8,0,41,2.130907012195122,2.0234375,2.6796875,2.6901041666666665,2.6901041666666665,3.3567708333333335
independent_direct_generalized_native,0.8,4,34,2.2182138480392157,2.0234375,2.6901041666666665,2.6901041666666665,2.6901041666666665,2.6901041666666665
independent_direct_generalized_native,0.8,20,24,2.132595486111111,2.0234375,2.1875,2.6901041666666665,2.6901041666666665,2.6901041666666665
independent_direct_generalized_native,0.8,39,34,2.3331801470588234,2.0234375,2.6901041666666665,2.6901041666666665,2.6901041666666665,3.1367708333333346
independent_direct_generalized_native,0.9,0,41,2.736598069105691,2.6901041666666665,3.3567708333333335,3.3567708333333335,4.0234375,4.0234375
independent_direct_generalized_native,0.9,4,34,2.846966911764706,2.6901041666666665,3.3567708333333335,3.3567708333333335,3.3567708333333335,3.803437500000001
independent_direct_generalized_native,0.9,20,24,2.745659722222222,2.6901041666666665,2.856770833333333,3.3567708333333335,3.9234374999999986,4.0234375
independent_direct_generalized_native,0.9,39,34,2.9450061274509802,2.6901041666666665,3.3567708333333335,3.3567708333333335,4.0234375,4.0234375
independent_direct_generalized_native,0.95,0,41,3.356008638211382,3.3567708333333335,4.0234375,4.0234375,4.0234375,5.356770833333333
independent_direct_generalized_native,0.95,4,34,3.5920649509803924,3.3567708333333335,4.0234375,4.0234375,4.0234375,4.916770833333335
independent_direct_generalized_native,0.95,20,24,3.551215277777778,3.3567708333333335,4.0234375,4.0234375,4.0234375,5.0501041666666655
independent_direct_generalized_native,0.95,39,34,3.807751225490196,4.0234375,4.0234375,4.690104166666667,4.690104166666667,5.136770833333334
independent_direct_generalized_native,0.975,0,41,4.315866361788618,4.0234375,5.356770833333333,5.356770833333333,5.356770833333333,6.1567708333333355
independent_direct_generalized_native,0.975,4,34,4.141084558823529,4.0234375,4.0234375,4.956770833333332,5.356770833333333,5.356770833333333
independent_direct_generalized_native,0.975,20,24,4.495659722222222,4.0234375,5.356770833333333,5.356770833333333,5.356770833333333,6.383437499999999
independent_direct_generalized_native,0.975,39,34,4.827359068627452,5.356770833333333,5.356770833333333,5.356770833333333,5.356770833333333,5.803437500000001
independent_direct_generalized_native,0.99,0,41,5.307990345528455,5.356770833333333,5.356770833333333,5.356770833333333,6.690104166666667,6.690104166666667
independent_direct_generalized_native,0.99,4,34,5.592064950980393,5.356770833333333,6.690104166666667,6.690104166666667,6.690104166666667,6.690104166666667
independent_direct_generalized_native,0.99,20,24,5.690104166666667,5.356770833333333,6.690104166666667,6.690104166666667,6.690104166666667,7.7167708333333325
independent_direct_generalized_native,0.99,39,34,5.945006127450981,5.356770833333333,6.690104166666667,6.690104166666667,6.690104166666667,6.690104166666667
nested_int16_prefix_generalized_native,0.8,0,41,3.153963414634146,2.6901041666666665,4.013020833333333,4.0234375,5.356770833333333,6.1567708333333355
nested_int16_prefix_generalized_native,0.8,4,34,4.314185049019607,4.0234375,5.356770833333333,5.356770833333333,5.356770833333333,5.356770833333333
nested_int16_prefix_generalized_native,0.8,20,24,4.466796875,4.0234375,5.356770833333333,5.356770833333333,5.356770833333333,5.356770833333333
nested_int16_prefix_generalized_native,0.8,39,34,4.0583639705882355,4.013020833333333,5.182291666666667,5.356770833333333,5.356770833333333,5.356770833333333
nested_int16_prefix_generalized_native,0.9,0,41,4.329331808943089,4.0234375,5.356770833333333,6.690104166666667,6.690104166666667,6.690104166666667
nested_int16_prefix_generalized_native,0.9,4,34,5.454810049019607,5.356770833333333,6.690104166666667,6.690104166666667,6.690104166666667,6.690104166666667
nested_int16_prefix_generalized_native,0.9,20,24,5.467881944444444,5.356770833333333,5.690104166666666,6.690104166666667,6.690104166666667,6.690104166666667
nested_int16_prefix_generalized_native,0.9,39,34,4.964001225490196,5.356770833333333,5.356770833333333,5.356770833333333,5.823437499999997,6.690104166666667
nested_int16_prefix_generalized_native,0.95,0,41,5.258447662601625,5.356770833333333,5.356770833333333,6.690104166666667,6.690104166666667,8.0234375
nested_int16_prefix_generalized_native,0.95,4,34,6.337162990196078,6.690104166666667,6.690104166666667,7.623437499999999,8.0234375,8.0234375
nested_int16_prefix_generalized_native,0.95,20,24,6.356770833333333,6.690104166666667,6.690104166666667,7.623437499999999,8.0234375,8.0234375
nested_int16_prefix_generalized_native,0.95,39,34,5.592064950980392,5.356770833333333,6.356770833333334,6.690104166666667,6.690104166666667,7.583437500000002
nested_int16_prefix_generalized_native,0.975,0,41,6.267085873983739,6.690104166666667,6.690104166666667,8.0234375,8.0234375,8.0234375
nested_int16_prefix_generalized_native,0.975,4,34,7.199908088235294,7.356770833333334,8.0234375,8.0234375,8.0234375,8.0234375
nested_int16_prefix_generalized_native,0.975,20,24,7.134548611111112,6.690104166666667,8.0234375,8.0234375,8.0234375,8.0234375
nested_int16_prefix_generalized_native,0.975,39,34,6.258731617647059,6.690104166666667,6.690104166666667,8.0234375,8.0234375,8.0234375
nested_int16_prefix_generalized_native,0.99,0,41,7.177909044715447,8.0234375,8.0234375,8.0234375,8.0234375,8.0234375
nested_int16_prefix_generalized_native,0.99,4,34,7.866574754901961,8.0234375,8.0234375,8.0234375,8.0234375,8.0234375
nested_int16_prefix_generalized_native,0.99,20,24,7.801215277777778,8.0234375,8.0234375,8.0234375,8.0234375,8.0234375
nested_int16_prefix_generalized_native,0.99,39,34,7.317555147058823,8.0234375,8.0234375,8.0234375,8.0234375,8.0234375
rrq_generalized_heterogeneous,0.8,0,41,2.317073170731707,2.3333333333333335,2.3333333333333335,3.125,3.125,3.600000000000001
rrq_generalized_heterogeneous,0.8,4,34,2.519607843137255,2.3333333333333335,2.3333333333333335,3.125,3.125,3.125
rrq_generalized_heterogeneous,0.8,20,24,2.465277777777778,2.3333333333333335,2.3333333333333335,3.125,3.125,3.125
rrq_generalized_heterogeneous,0.8,39,34,2.5012254901960786,2.3333333333333335,2.375,3.125,3.125,3.655416666666668
rrq_generalized_heterogeneous,0.9,0,41,3.0691056910569103,3.125,3.125,3.9166666666666665,3.9166666666666665,4.3916666666666675
rrq_generalized_heterogeneous,0.9,4,34,3.264705882352941,3.125,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665
rrq_generalized_heterogeneous,0.9,20,24,3.2569444444444446,3.125,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665
rrq_generalized_heterogeneous,0.9,39,34,3.381127450980392,3.125,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333
rrq_generalized_heterogeneous,0.95,0,41,3.9939024390243905,3.9166666666666665,4.708333333333333,4.708333333333333,5.5,5.975000000000001
rrq_generalized_heterogeneous,0.95,4,34,4.28921568627451,4.3125,4.708333333333333,4.708333333333333,4.708333333333333,5.238750000000001
rrq_generalized_heterogeneous,0.95,20,24,4.213541666666667,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333,5.317916666666666
rrq_generalized_heterogeneous,0.95,39,34,4.28921568627451,3.9166666666666665,4.708333333333333,4.708333333333333,4.985416666666665,5.5
rrq_generalized_heterogeneous,0.975,0,40,4.866666666666666,4.708333333333333,5.5,6.291666666666667,6.291666666666667,6.774583333333333
rrq_generalized_heterogeneous,0.975,4,34,5.243872549019607,5.5,5.5,5.5,5.777083333333332,6.291666666666667
rrq_generalized_heterogeneous,0.975,20,24,5.038194444444444,4.708333333333333,5.5,5.5,5.5,6.109583333333333
rrq_generalized_heterogeneous,0.975,39,34,5.150735294117647,5.5,5.5,5.5,5.5,6.030416666666668
