group,projection,basis,stage,invocations,recovery_p10,recovery_median,recovery_p90
all four layers,down,native,1,65,0.8263503658881721,0.8678327493430594,0.8780983993341971
all four layers,down,native,2,65,0.9691530546350116,0.9786541384818751,0.9813840992834952
all four layers,down,native,3,65,0.9925030225874641,0.9950981298968269,0.9959791173720752
all four layers,down,refit_generalized,1,65,0.8671605977613099,0.874093023323892,0.9016227527399701
all four layers,down,refit_generalized,2,65,0.9828125553125511,0.9843796810270921,0.9882765972665065
all four layers,down,refit_generalized,3,65,0.9974615878636061,0.997905062238857,0.9983499814024664
all four layers,gate,butterfly_hadamard_control,1,65,0.8589404022299331,0.8792470720259038,0.8969967892201185
all four layers,gate,butterfly_hadamard_control,2,65,0.9817321640406507,0.9852394120053513,0.9889691245667265
all four layers,gate,butterfly_hadamard_control,3,65,0.9968030220368121,0.9973051631613488,0.9986553832450037
all four layers,gate,generalized,1,65,0.8795023071518083,0.8945912494402029,0.9224312465972347
all four layers,gate,generalized,2,65,0.9841529980545172,0.9867171761720785,0.9903731246066975
all four layers,gate,generalized,3,65,0.997065762779549,0.9975288525567182,0.9988089692264007
all four layers,gate,learned_orthogonal,1,65,0.8203303023074111,0.8611310169914379,0.8843124360971537
all four layers,gate,learned_orthogonal,2,65,0.9797347068268891,0.9832658858811753,0.9869696751711935
all four layers,gate,learned_orthogonal,3,65,0.9966671980428248,0.997234137657196,0.998509431505477
all four layers,gate,native,1,65,0.8763339518892186,0.8950832121078122,0.9153601578758565
all four layers,gate,native,2,65,0.9809457859497067,0.9858401040752935,0.990309139660416
all four layers,gate,native,3,65,0.9959668364633643,0.997144625513549,0.998770763327234
all four layers,gate,overcomplete_2x,1,65,0.9231858729652683,0.9340617434158722,0.946331786985495
all four layers,gate,overcomplete_2x,2,65,0.990594267400199,0.991958905695368,0.9946051599525291
all four layers,gate,overcomplete_2x,3,65,0.998263570152477,0.9985603791726111,0.9993892398401057
all four layers,gate,pca,1,65,0.880656810510774,0.8976701949117636,0.9182956682280554
all four layers,gate,pca,2,65,0.9841358783322083,0.9869604224790345,0.9910574623063846
all four layers,gate,pca,3,65,0.9968133583900641,0.9974997770748357,0.9989480578539975
all four layers,gate,refit_generalized,1,65,0.8763428132873071,0.8951986742733669,0.9051083642832531
all four layers,gate,refit_generalized,2,65,0.9839357732140501,0.9865649555755074,0.9892163762844419
