projection,stage,comparison,k,cases,recovery_median,recovery_p10,recovery_p90
down,1,bounded_beam_w16_pool32,1.0,4,0.053234778581673525,0.04116598219361809,0.31922592318073517
down,1,bounded_beam_w16_pool32,2.0,4,0.10184762562442284,0.06969767673843996,0.4581789067449885
down,1,bounded_beam_w16_pool32,3.0,4,0.14238092050397677,0.09641069427093185,0.490933837729032
down,1,bounded_beam_w16_pool32,4.0,4,0.17981354217333356,0.1224470185174647,0.5210402028411221
down,1,bounded_beam_w16_pool32,5.0,4,0.21415010438168952,0.1443695746098966,0.548185809016524
down,1,bounded_beam_w16_pool32,6.0,4,0.2471664931112128,0.1663133769041299,0.5749824555320072
down,1,bounded_beam_w16_pool32,7.0,4,0.27524914790154725,0.1860179000348411,0.5974113660662999
down,1,bounded_beam_w16_pool32,8.0,4,0.302082912507203,0.20298168982414647,0.6189239315769663
down,1,bounded_beam_w16_pool32,9.0,4,0.32217624870078404,0.21887888716703208,0.6370122290188294
down,1,bounded_beam_w16_pool32,10.0,4,0.3424119491135899,0.23460197644352157,0.652831610505102
down,1,bounded_beam_w16_pool32,11.0,4,0.3618219081285507,0.24928491696367747,0.667494648106908
down,1,bounded_beam_w16_pool32,12.0,4,0.3794335568337814,0.2629588827493098,0.6802633014033855
down,1,bounded_beam_w16_pool32,13.0,4,0.3961032554087351,0.27581968511869576,0.6920865349672227
down,1,bounded_beam_w16_pool32,14.0,4,0.41204775074415345,0.2881562682894679,0.7027636534922251
down,1,bounded_beam_w16_pool32,15.0,4,0.4279293782307397,0.30018276871195804,0.7135032589958307
down,1,bounded_beam_w16_pool32,16.0,4,0.4417757947932244,0.3110373139634353,0.7227650895274229
down,1,bounded_beam_w64_pool32,1.0,4,0.053234778581673525,0.04116598219361809,0.31922592318073517
down,1,bounded_beam_w64_pool32,2.0,4,0.10184762562442284,0.06969767673843996,0.4581789067449885
down,1,bounded_beam_w64_pool32,3.0,4,0.14238092050397677,0.09641069427093185,0.49093383797306034
down,1,bounded_beam_w64_pool32,4.0,4,0.17981354217333356,0.12244701984981796,0.5210402029597825
down,1,bounded_beam_w64_pool32,5.0,4,0.21415010438168952,0.1443695760311092,0.548185809016524
down,1,bounded_beam_w64_pool32,6.0,4,0.24716649336853497,0.16631337855286968,0.5749824555320072
down,1,bounded_beam_w64_pool32,7.0,4,0.2752491476431739,0.18601790101553237,0.5974113657003353
down,1,bounded_beam_w64_pool32,8.0,4,0.3020829138018138,0.2029816901998267,0.6189239321144756
down,1,bounded_beam_w64_pool32,9.0,4,0.322176249604624,0.21887888837217934,0.637012229559943
down,1,bounded_beam_w64_pool32,10.0,4,0.34241195023724913,0.2346019783107186,0.6528316109679078
down,1,bounded_beam_w64_pool32,11.0,4,0.36182190990144386,0.2492849188964945,0.6674946484776537
down,1,bounded_beam_w64_pool32,12.0,4,0.379433558805484,0.26295888440985365,0.6802633017887011
down,1,bounded_beam_w64_pool32,13.0,4,0.3961032563939555,0.27581968600599804,0.6920865356152878
down,1,bounded_beam_w64_pool32,14.0,4,0.41204775333190563,0.2881562691543919,0.7027636552262383
down,1,bounded_beam_w64_pool32,15.0,4,0.4279293811489122,0.30018276968544627,0.7135032611582652
down,1,bounded_beam_w64_pool32,16.0,4,0.4417757974981106,0.3110373161102993,0.7227650916306081
down,2,bounded_beam_w16_pool32,1.0,4,0.05352582765127828,0.03763931815185663,0.3209475126478284
down,2,bounded_beam_w16_pool32,2.0,4,0.10201056869854008,0.07083983984782803,0.457369349395788
down,2,bounded_beam_w16_pool32,3.0,4,0.14245142320849985,0.09969938052264138,0.49224345151244164
down,2,bounded_beam_w16_pool32,4.0,4,0.17690920052010128,0.12542138888716012,0.5196805871385144
down,2,bounded_beam_w16_pool32,5.0,4,0.21089864916373574,0.1482543181189562,0.5451615840025584
down,2,bounded_beam_w16_pool32,6.0,4,0.24231182816415064,0.16834191122729375,0.5679663298373869
down,2,bounded_beam_w16_pool32,7.0,4,0.2721245225830828,0.18785436336066832,0.5890476675495673
down,2,bounded_beam_w16_pool32,8.0,4,0.29898412500895366,0.20589510932235053,0.6086566273808026
down,2,bounded_beam_w16_pool32,9.0,4,0.32539410487139764,0.2233684391831102,0.6269810987045215
down,2,bounded_beam_w16_pool32,10.0,4,0.3510088625113304,0.2401300223153406,0.6444988692545187
