group,budget_bpw,paired_invocations,requests,rrq_recovery_median,pr2_recovery_median,paired_difference_p10,paired_difference_median,paired_difference_p90,paired_difference_mean,paired_difference_median_ci_low,paired_difference_median_ci_high
all four layers,0.5,39,10,0.6169748891541393,0.7642547143150215,-0.2224925787199194,-0.1092670121986008,-0.032492783863711676,-0.12163008387868267,-0.1889267002884839,-0.05930243778605093
all four layers,1.0,39,10,0.7997665185656996,0.8024218340751889,-0.07462612171351227,0.010500353567729936,0.06038280972224701,-0.0021637049924853446,-0.03222860583531756,0.02634916181493424
all four layers,1.5,39,10,0.859843222402076,0.8307598264923621,-0.023131494403373098,0.04048070875787513,0.10324621138838914,0.03969761199259304,0.024666144150552738,0.06367213301473251
all four layers,2.0,39,10,0.8933648910652194,0.8450924199169203,0.011645598764664599,0.06189765717867057,0.11428189782218275,0.06373710002185977,0.054086118710619524,0.08575239329951256
all four layers,2.5,39,10,0.9141738354559517,0.846244791718159,0.026799456049510128,0.07142972302393757,0.1268610580630169,0.07991025196519339,0.06459110434521909,0.09565256783390963
all four layers,3.0,39,10,0.9316238513837923,0.846244791718159,0.046853755078999984,0.09348021752181745,0.14175904086810698,0.09525564682178446,0.07875361167920625,0.11971297219878296
layer 0,0.5,12,6,0.757142048596927,0.847454056845504,-0.13256998475427362,-0.10524863186172717,-0.052932555418935,-0.0827940256204967,-0.11774486287659858,-0.06582049267023271
layer 0,1.0,12,6,0.8900464474741838,0.8645587237182095,-0.07370952653838687,0.017593013070998587,0.09006839666705255,0.008597954893465773,-0.04982634882040826,0.021071304594030282
layer 0,1.5,12,6,0.9258115427221902,0.8792693761554515,-0.032259416874187964,0.04078671201016476,0.1014011540131842,0.03883728452410642,-0.017482662328208387,0.06367213301473251
layer 0,2.0,12,6,0.950845731034286,0.8869614272031634,0.011773520782520886,0.05478408118729383,0.11138722837892696,0.058477623597628474,0.012487536252428821,0.0696728057974143
layer 0,2.5,12,6,0.9705935991428636,0.8869726480644363,0.028609676326204182,0.06665452083890427,0.1163421923611859,0.07211151127766649,0.04851006366247762,0.08157794793000295
layer 0,3.0,12,6,0.9755187510287535,0.8869726480644363,0.04345608210931351,0.06965592408546745,0.12049865227603693,0.0816287441105086,0.05572562266054437,0.10811365759179759
layers 4/20/39,0.5,27,9,0.5548472892905889,0.7340741099484459,-0.2597968160434145,-0.11479566741223479,-0.031974675627515874,-0.13889055421565424,-0.19390309046879878,-0.037856705412829594
layers 4/20/39,1.0,27,9,0.746044007933774,0.7767462629345618,-0.0687133225857552,0.006919280934892802,0.04191675481990379,-0.006946664941796953,-0.0416074206866367,0.03316109098932596
layers 4/20/39,1.5,27,9,0.8466014612042411,0.7878723320344243,-0.020941215553594607,0.03816541590302713,0.09460474466068117,0.04007997975636487,0.02473743689632313,0.07948328098233937
layers 4/20/39,2.0,27,9,0.8806946517673342,0.8136013893755709,0.012104732150457688,0.06476495406930771,0.10798946250261598,0.06607464509929589,0.05517794944209764,0.09414382870109178
layers 4/20/39,2.5,27,9,0.9068380776337749,0.8194803013384913,0.03713172573459205,0.07864941212380083,0.1275123158078467,0.08337635893742758,0.06480982872570051,0.1061489296079412
layers 4/20/39,3.0,27,9,0.9254252752516466,0.8249327064834455,0.05629991317034393,0.09374785902184901,0.1498223152640591,0.10131204802679596,0.07893721499834916,0.1325792284909224
