projection,stage,target_recovery,cases,energy_atoms_median,exact_atoms_median,extra_atoms_median,extra_atoms_p90,extra_projection_bpw_median,extra_projection_bpw_p90
down,1,0.8,4,72.5,68.5,4.0,4.7,0.03125,0.03671875
down,1,0.9,4,125.5,119.5,4.5,7.1000000000000005,0.03515625,0.055468750000000004
down,1,0.95,4,178.0,172.5,4.5,5.7,0.03515625,0.04453125
down,1,0.99,4,276.5,273.0,4.0,5.0,0.03125,0.0390625
down,2,0.8,4,73.0,70.0,3.0,5.1000000000000005,0.0234375,0.039843750000000004
down,2,0.9,4,126.5,120.5,6.0,9.8,0.046875,0.0765625
down,2,0.95,4,177.0,171.0,6.0,6.0,0.046875,0.046875
down,2,0.99,4,272.0,269.0,3.0,4.7,0.0234375,0.03671875
down,3,0.8,4,75.0,72.5,2.5,5.1000000000000005,0.01953125,0.039843750000000004
down,3,0.9,4,127.5,121.5,6.0,7.7,0.046875,0.06015625
down,3,0.95,4,178.0,172.5,4.5,6.4,0.03515625,0.05
down,3,0.99,4,278.5,274.0,4.0,4.7,0.03125,0.03671875
gate,1,0.8,4,399.5,158.5,246.5,288.4,0.962890625,1.1265625
gate,1,0.9,4,639.0,277.5,398.0,450.5,1.5546875,1.759765625
gate,1,0.95,4,902.5,417.5,522.0,613.8000000000001,2.0390625,2.3976562500000003
gate,1,0.99,4,1356.0,1999.0,-606.0,392.40000000000026,-2.3671875,1.532812500000001
gate,2,0.8,4,438.0,163.0,278.5,293.7,1.087890625,1.147265625
gate,2,0.9,4,709.0,282.0,427.0,439.9,1.66796875,1.718359375
gate,2,0.95,4,942.0,428.0,520.0,565.2,2.03125,2.2078125
gate,2,0.99,4,1368.0,2001.5,-618.5,353.7000000000003,-2.416015625,1.381640625000001
gate,3,0.8,4,410.5,155.5,251.5,301.8,0.982421875,1.17890625
gate,3,0.9,4,653.5,273.5,393.5,435.9,1.537109375,1.702734375
gate,3,0.95,4,934.0,410.5,527.5,591.8,2.060546875,2.31171875
gate,3,0.99,4,1391.0,1996.0,-600.5,397.5000000000002,-2.345703125,1.5527343750000009
up,1,0.8,4,460.0,179.5,303.0,378.90000000000003,1.18359375,1.4800781250000001
up,1,0.9,4,733.5,304.0,465.5,521.5,1.818359375,2.037109375
up,1,0.95,4,945.5,452.0,530.5,634.9,2.072265625,2.480078125
up,1,0.99,4,1429.0,2002.5,-582.0,430.7000000000003,-2.2734375,1.682421875000001
up,2,0.8,4,409.5,172.5,237.0,282.5,0.92578125,1.103515625
up,2,0.9,4,692.5,294.0,384.0,441.3,1.5,1.723828125
up,2,0.95,4,926.5,442.5,511.5,542.8,1.998046875,2.1203125
up,2,0.99,4,1381.0,1996.5,-576.0,-36.899999999999864,-2.25,-0.14414062499999947
up,3,0.8,4,449.5,150.0,276.0,322.4,1.078125,1.259375
up,3,0.9,4,713.5,265.5,449.0,473.2,1.75390625,1.8484375
up,3,0.95,4,917.5,404.5,518.0,542.7,2.0234375,2.119921875
up,3,0.99,4,1362.5,2002.5,-603.0,360.7000000000002,-2.35546875,1.4089843750000008
