budget_bpw,projection,stage,selected_actions
0.5,down,1,17570
0.5,down,2,2646
0.5,down,3,424
0.5,gate,1,16866
0.5,gate,2,1178
0.5,gate,3,196
0.5,up,1,23970
0.5,up,2,2848
0.5,up,3,446
1.0,down,1,27196
1.0,down,2,5476
1.0,down,3,928
1.0,gate,1,47016
1.0,gate,2,3717
1.0,gate,3,531
1.0,up,1,47945
1.0,up,2,5961
1.0,up,3,814
1.5,down,1,36842
1.5,down,2,10556
1.5,down,3,2138
1.5,gate,1,68964
1.5,gate,2,6124
1.5,gate,3,752
1.5,up,1,72882
1.5,up,2,10657
1.5,up,3,1517
2.0,down,1,42406
2.0,down,2,14280
2.0,down,3,3314
2.0,gate,1,94850
2.0,gate,2,10950
2.0,gate,3,1144
2.0,up,1,100488
2.0,up,2,16750
2.0,up,3,2378
2.5,down,1,47607
2.5,down,2,18353
2.5,down,3,4312
2.5,gate,1,118718
2.5,gate,2,16943
2.5,gate,3,1811
2.5,up,1,124930
2.5,up,2,24146
2.5,up,3,4140
3.0,down,1,52389
3.0,down,2,22750
3.0,down,3,5789
3.0,gate,1,144345
3.0,gate,2,25563
3.0,gate,3,3084
3.0,up,1,145104
3.0,up,2,30629
3.0,up,3,5131
