group,projection,stage,target_recovery,invocations,required_atoms_p10,required_atoms_median,required_atoms_p90,required_bpw_median
all four layers,down,1,0.8,226,12.0,71.0,118.0,0.5546875
all four layers,down,1,0.9,226,27.5,124.0,178.0,0.96875
all four layers,down,1,0.95,226,48.0,178.0,234.0,1.390625
all four layers,down,1,0.99,226,95.5,284.0,334.0,2.21875
all four layers,down,2,0.8,226,14.0,72.0,118.0,0.5625
all four layers,down,2,0.9,226,28.5,121.5,180.5,0.94921875
all four layers,down,2,0.95,226,49.5,176.0,233.0,1.375
all four layers,down,2,0.99,226,98.5,280.5,334.0,2.19140625
all four layers,down,3,0.8,226,14.0,71.0,115.0,0.5546875
all four layers,down,3,0.9,226,30.0,121.0,176.0,0.9453125
all four layers,down,3,0.95,226,52.5,175.0,232.0,1.3671875
all four layers,down,3,0.99,226,99.5,281.0,335.0,2.1953125
all four layers,gate,1,0.8,226,15.5,272.0,453.0,1.0625
all four layers,gate,1,0.9,226,50.0,550.0,739.0,2.1484375
all four layers,gate,1,0.95,226,125.5,801.0,983.5,3.12890625
all four layers,gate,1,0.99,226,363.0,1286.0,1411.5,5.0234375
all four layers,gate,2,0.8,226,25.0,337.0,509.5,1.31640625
all four layers,gate,2,0.9,226,70.0,606.0,791.5,2.3671875
all four layers,gate,2,0.95,226,147.5,857.5,1017.5,3.349609375
all four layers,gate,2,0.99,226,414.0,1335.0,1429.5,5.21484375
all four layers,gate,3,0.8,226,18.5,311.0,508.5,1.21484375
all four layers,gate,3,0.9,226,67.5,578.0,766.0,2.2578125
all four layers,gate,3,0.95,226,134.0,847.5,1006.5,3.310546875
all four layers,gate,3,0.99,226,398.0,1327.0,1430.0,5.18359375
all four layers,up,1,0.8,226,29.5,338.0,531.0,1.3203125
all four layers,up,1,0.9,226,86.0,610.5,808.5,2.384765625
all four layers,up,1,0.95,226,171.0,871.5,1046.5,3.404296875
all four layers,up,1,0.99,226,441.0,1328.0,1442.5,5.1875
all four layers,up,2,0.8,226,17.0,321.5,517.0,1.255859375
all four layers,up,2,0.9,226,72.5,603.0,792.0,2.35546875
all four layers,up,2,0.95,226,142.0,864.5,1030.5,3.376953125
all four layers,up,2,0.99,226,427.5,1324.5,1445.5,5.173828125
all four layers,up,3,0.8,226,32.0,340.0,509.0,1.328125
all four layers,up,3,0.9,226,87.5,616.5,780.5,2.408203125
all four layers,up,3,0.95,226,172.0,870.0,1023.0,3.3984375
all four layers,up,3,0.99,226,456.0,1330.5,1436.5,5.197265625
layer 0,down,1,0.8,67,6.6000000000000005,21.0,53.0,0.1640625
layer 0,down,1,0.9,67,13.0,40.0,87.6,0.3125
layer 0,down,1,0.95,67,21.6,62.0,121.39999999999999,0.484375
layer 0,down,1,0.99,67,52.00000000000001,114.0,201.0,0.890625
layer 0,down,2,0.8,67,6.6000000000000005,22.0,53.8,0.171875
layer 0,down,2,0.9,67,13.600000000000001,40.0,90.6,0.3125
