group,budget_bpw,invocations,requests,recovery_p10,recovery_median,recovery_p90,recovery_mean,recovery_median_ci_low,recovery_median_ci_high,eta_p10,eta_median,eta_p90,eta_median_ci_low,eta_median_ci_high,benefit_retention_p10,benefit_retention_median,benefit_retention_p90,benefit_retention_median_ci_low,benefit_retention_median_ci_high,dense_comparator_recovery_median,actual_physical_bpw_median,logical_bpw_median,page_amplification_median,relative_output_error_median,gate_avg_expert_bpw_median,up_avg_expert_bpw_median,down_avg_expert_bpw_median,gate_projection_bpw_median,up_projection_bpw_median,down_projection_bpw_median
all four layers,0.5,226,16,0.42341535911439854,0.6128473614531407,0.8079309236587171,0.615669054276157,0.59795052416082,0.6399047161052756,1.2308229501743488,1.6260783085081374,2.352285860495683,1.546489025124712,1.6679569838202803,0.4251227166539532,0.6149766440974089,0.8124657393525547,0.5995358451688634,0.6481523443072753,0.9959272810017413,0.5,0.21967569986979169,2.2760824313683066,0.3629051297903061,0.0,0.25,0.25,0.0,0.75,0.75
all four layers,1.0,226,16,0.6217120451173801,0.7904499129219847,0.9574532910996976,0.7881103732588355,0.7715980795397874,0.8397991495932994,1.0400243097755038,1.2593849615271768,1.5954308043269907,1.1877190399819937,1.2896173873046832,0.6267962774872238,0.7940383906808167,0.9615161745163588,0.7747281254872378,0.8453183351072419,0.9959272810017413,1.0,0.43779500325520837,2.284121009340583,0.26934945583343506,0.25,0.25,0.5,0.75,0.75,1.5
all four layers,1.5,226,16,0.7299110838770377,0.8591078964198327,0.9772379672310663,0.8536744106192798,0.8366388993110864,0.8945620583608702,1.0196368859012728,1.160488276273281,1.3637409822497304,1.1187631496041912,1.1888812296470685,0.7332773296006876,0.8617065738172751,0.9807414158648735,0.8425414525398903,0.898021286995815,0.9959272810017413,1.5,0.58929443359375,2.54541707661868,0.23113439977169037,0.5,0.5,0.5,1.5,1.5,1.5
all four layers,2.0,226,16,0.8017741581269977,0.8936930622305477,0.9863934783302573,0.8918301749679745,0.879833944756471,0.9270290099261448,1.0099510338888802,1.1131298444629745,1.23907369085119,1.0762949256737377,1.1335754584610012,0.807054884529774,0.8983678055104496,0.9901470301609145,0.8821301377384398,0.9282964422752488,0.9959272810017413,2.0,0.8037618001302084,2.4841179608008757,0.20326635241508484,0.5,0.75,0.75,1.5,2.25,2.25
all four layers,2.5,226,16,0.837468923015044,0.9225158072093675,0.9895412448271276,0.9161142277290101,0.9068360089286162,0.9489539171821312,1.0062335516167948,1.0804650838431669,1.1873868718590406,1.051667249327088,1.0978415257363616,0.8421856165191147,0.9255273645940645,0.9938050649522168,0.9099019881789391,0.9493151308286081,0.9959272810017413,2.5,0.9540608723958333,2.617113640768293,0.1781284511089325,0.75,0.75,0.75,2.25,2.25,2.25
all four layers,3.0,226,16,0.8696259634493598,0.9373750792299813,0.9909327691709802,0.9330744138386953,0.926172864355349,0.9534894219293275,1.0029912386599191,1.0631425964635866,1.14362161900522,1.0450586852047905,1.0766721030141098,0.8744156707400321,0.940607594245946,0.9970176863380371,0.930070431660436,0.9565995015800103,0.9959272810017413,3.0,1.1657918294270835,2.56827144148979,0.15739352256059647,1.0,1.0,1.0,3.0,3.0,3.0
layer 0,0.5,67,15,0.6288708010011002,0.7653163885028672,0.9198094727447046,0.7655179265762296,0.7203246320315451,0.7877966283118649,1.0839723110099266,1.2988958911745891,1.5824239883509303,1.2622433660130634,1.381208245388288,0.6319514909908963,0.7698846434071801,0.9226157442559508,0.724003786785155,0.7911430978464983,0.9953139362517925,0.5,0.22023518880208334,2.2703002309468823,0.26014435291290283,0.0,0.25,0.25,0.0,0.75,0.75
layer 0,1.0,67,15,0.808567587630847,0.9290770236923851,0.9832828064623605,0.9101750158328421,0.9121472534955648,0.9521931656275366,1.0143207769971079,1.0692571058460933,1.2291860702201918,1.0472841549824776,1.091951390161431,0.8135475223565032,0.9352287625984109,0.9858826282520334,0.9151011442873102,0.9576012521978248,0.9953139362517925,1.0,0.44183349609375,2.2632960353640006,0.13344056904315948,0.25,0.25,0.5,0.75,0.75,1.5
layer 0,1.5,67,15,0.8554482935997707,0.962927610308494,0.991421466209641,0.9439599732566059,0.9511467830495045,0.9762331349856923,1.005911899977036,1.0313706303237473,1.1633544604885957,1.0206378591812326,1.0470755729421293,0.8596153238203519,0.9695835527972131,0.9941232823663549,0.9550409023392135,0.9796107339637691,0.9953139362517925,1.5,0.5909220377604166,2.5384059218454125,0.10368147492408752,0.5,0.5,0.5,1.5,1.5,1.5
layer 0,2.0,67,15,0.890104289477535,0.9766991132350504,0.9940567043873899,0.9614493495573145,0.9678915468267728,0.9850935144102714,1.0030395966497478,1.0171894299978268,1.1186914198174136,1.0111498247175135,1.0278251148188158,0.8939018363537555,0.9831010532641266,0.9969696452827972,0.9729281621769664,0.9892435344652107,0.9953139362517925,2.0,0.8087158203125,2.471937235968618,0.07872100919485092,0.5,0.75,0.75,1.5,2.25,2.25
layer 0,2.5,67,15,0.9227330005092849,0.9815272220247765,0.9955873755101741,0.9706555384915942,0.9776966044558378,0.989248047917076,1.00183855896985,1.0119023004208074,1.078100160226144,1.006367482751045,1.0175926920480176,0.927566421705221,0.9882376980308694,0.9981648177213306,0.9835408751364356,0.9935509882305521,0.9953139362517925,2.5,0.9558919270833334,2.6119117459507715,0.07255148887634277,0.75,0.75,0.75,2.25,2.25,2.25
layer 0,3.0,67,15,0.9468194623373237,0.9873638639858423,0.9961310302234007,0.9767512414811453,0.9794360102967616,0.9900247329092664,1.0010319978041218,1.0079946043313741,1.0503558198867975,1.0030561317646012,1.0135598426021384,0.9520782732907127,0.992068802454873,0.9989690661208993,0.9873834419632638,0.9969531797196386,0.9953139362517925,3.0,1.10430908203125,2.705912577531471,0.06425365805625916,1.0,1.0,0.75,3.0,3.0,2.25
layers 4/20/39,0.5,159,15,0.38602692299840846,0.5580841266756958,0.7060263837399384,0.5525251898478244,0.5252931156167258,0.5760930012985386,1.4119232741877215,1.7804884650894706,2.579447714333086,1.7195967713203852,1.8926432806318547,0.38767994360125924,0.5616436273569172,0.7082947227565061,0.5303182660698185,0.5794832674353485,0.9961509925501931,0.5,0.21903483072916666,2.282741965446777,0.40226906538009644,0.0,0.25,0.25,0.0,0.75,0.75
layers 4/20/39,1.0,159,15,0.5902968280470696,0.746044007933774,0.8636793628973353,0.736674328903751,0.7245840792601697,0.7610362183634225,1.1551935713990025,1.3346324343853304,1.6886656896217258,1.3059663758950073,1.3747366106337484,0.5922735532486536,0.7492699669482807,0.8656571816604426,0.7274120673479437,0.7683263951556463,0.9961509925501931,1.0,0.37109375,2.694736842105263,0.30182647705078125,0.25,0.25,0.25,0.75,0.75,0.75
layers 4/20/39,1.5,159,15,0.710491953539395,0.8257473263025836,0.9140200712885057,0.8156295508916018,0.809301524393038,0.8358463183639637,1.0915608414795681,1.2061232476621746,1.4027602328108468,1.1917017646428862,1.2319713062825917,0.7128811979765534,0.8291026658662763,0.9161235156672239,0.8125115610255627,0.8391361242128118,0.9961509925501931,1.5,0.5867919921875,2.556272103182858,0.2557101845741272,0.5,0.5,0.5,1.5,1.5,1.5
layers 4/20/39,2.0,159,15,0.7856223894871628,0.8742872789344337,0.9395126366366052,0.8624937932227807,0.8609540615265701,0.8798268354131105,1.0607875392102304,1.138985819220275,1.2664710270626462,1.1319424345457887,1.1545039760402316,0.7895957166264734,0.877974056502809,0.9426958401820905,0.8642789423682544,0.8839528878796239,0.9961509925501931,2.0,0.73846435546875,2.7083230019009834,0.22520434856414795,0.5,0.75,0.5,1.5,2.25,1.5
